name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Abildgaardia pachyptera,,Abildgaardia pachyptera,Priority 1: Poorly-known species,added,,,
Acacia corusca,Shimmer Wattle,Acacia corusca,Priority 1: Poorly-known species,added,,,
Acacia karinae,,,Priority 1: Poorly-known species,added,,,
Acacia lachnocarpa,Woolly-fruited Wattle,Acacia lachnocarpa,Priority 1: Poorly-known species,added,,,
Acacia sp. Forrestania (D. Angus DA 3001),,Acacia sp. Forrestania (D.Angus DA 3001),Priority 1: Poorly-known species,added,,,
Acacia sp. New Norcia (E.A. Griffin 5917),,Acacia sp. New Norcia (E.A.Griffin 5917),Priority 1: Poorly-known species,added,,,
Afrohybanthus bennettiae,,Afrohybanthus bennettiae,Priority 2: Poorly-known species,added,,,
Alyogyne sp. Great Victoria Desert (D.J. Edinger 6212),,Alyogyne sp. Great Victoria Desert (D.J.Edinger 6212),Priority 3: Poorly-known species,added,,,
Alyogyne sp. Hyden (G.S. Durell GD 127) PN,,Alyogyne sp. Hyden (G.S.Durell GD127),Priority 1: Poorly-known species,added,,,
Andersonia sp. Mysosma (E.A. Griffin 2213) PN,,Andersonia sp. Mysosma (E.A.Griffin 2213),Priority 2: Poorly-known species,added,,,
Apatelantha chrysotricha,,,Priority 2: Poorly-known species,added,,,
Apatelantha insignis,,,Priority 2: Poorly-known species,added,,,
Apium prostratum subsp. phillipii,,Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),Endangered,added,,,
Arivela kenneallyi,,Arivela kenneallyi,Priority 2: Poorly-known species,added,,,
Arthropodium vanleeuwenii,Leeuwen's Lily,Arthropodium vanleeuwenii,Priority 2: Poorly-known species,added,,,
Arthrostylis sp. Kalumburu (K.L. Wilson 10101) PN,,,Priority 2: Poorly-known species,added,,,
Asplenium decurrens,Shore Spleenwort,Asplenium obtusatum subsp. northlandicum,"Priority 4: Rare, Near Threatened",added,,,
Asteridea croniniana,,Asteridea croniniana,Priority 1: Poorly-known species,added,,,
Asteridea morawana,,Asteridea morawana,Priority 1: Poorly-known species,added,,,
Austrobaeckea columnaris,,,Priority 2: Poorly-known species,added,,,
Austrobaeckea narembeen,,,Priority 2: Poorly-known species,added,,,
Austrobaeckea uncinella,,,Priority 3: Poorly-known species,added,,,
Austrostipa bronweniae,,Austrostipa bronweniae,Endangered,added,,,
Austrostipa burgesiana,,,Priority 1: Poorly-known species,added,,,
Austrostipa echinata,Spiny Spear-grass,Austrostipa echinata,Priority 1: Poorly-known species,added,,,
Austrostipa everettiana,,,Priority 1: Poorly-known species,added,,,
Austrostipa frankliniae,,,Priority 2: Poorly-known species,added,,,
Austrostipa heteranthera,,,Priority 2: Poorly-known species,added,,,
Austrostipa koordana,,,Priority 1: Poorly-known species,added,,,
Austrostipa lanata,,Austrostipa lanata,Priority 3: Poorly-known species,added,,,
Austrostipa nunaginensis,,,Priority 3: Poorly-known species,added,,,
Austrostipa turbinata,,,Priority 3: Poorly-known species,added,,,
Austrostipa vickeryana,Vickery's Spear-grass,Austrostipa vickeryana,Priority 3: Poorly-known species,added,,,
Babingtonia peteriana,Ornate Babingtonia,Babingtonia peteriana,Priority 2: Poorly-known species,added,,,
Balaustion baiocalyx,,,Priority 1: Poorly-known species,added,,,
Balaustion bimucronatum,,,Priority 1: Poorly-known species,added,,,
Balaustion exsertum,,,Priority 3: Poorly-known species,added,,,
Balaustion filifolium,,,Priority 2: Poorly-known species,added,,,
Balaustion grande,,,Priority 3: Poorly-known species,added,,,
