name,scientificName_old,scientificName_new,commonName_old,commonName_new,status_old,status_new,listUpdate
Aggreflorum luehmannii,,,,,,Vulnerable,added
Aggreflorum pallidum,,,,,,Near Threatened,added
Gaudium venustum,,,,,,Vulnerable,added
Anacolosa australis,,Anacolosa,,,,Near Threatened,added
Bergera crenulata,,Murraya,,,,Endangered,added
Hibbertia advena,Dilleniaceae,,,,Endangered,,removed
Heliodendron xanthoxylon,Fabaceae,,,,Near threatened,,removed
Lenwebbia sp. (Blackall Range P.R.Sharpe 5387),Myrtaceae,,Myrtle Family (part),,Endangered,,removed
Lenwebbia sp. (Main Range P.R.Sharpe+ 4877),Myrtaceae,,Myrtle Family (part),,Critically Endangered,,removed
Leptospermum luehmannii,Leptospermum luehmannii,,Ngun Ngun May Bush,,Vulnerable,,removed
Leptospermum pallidum,Leptospermum pallidum,,,,Near threatened,,removed
Leptospermum venustum,Leptospermum venustum,,,,Vulnerable,,removed
Anacolosa papuana,Anacolosa papuana,,,,Near threatened,,removed
Phyllanthus sp. (Bulburin P.I.Forster+ PIF16034),Phyllanthaceae,,,,Vulnerable,,removed
Murraya crenulata,Murraya crenulata,,,,Endangered,,removed
Pakau pennigera,Thelypteridaceae,,,,Endangered,,removed
Reholttumia costata,Thelypteridaceae,,,,Near threatened,,removed
Taudactylus liemi,,Taudactylus liemi,,Eungella Tinkerfrog,Near threatened,Near Threatened,status change
Litoria cooloolensis,,Litoria cooloolensis,,Cooloola Tree Frog,Near threatened,Near Threatened,status change
Litoria longirostris,,Litoria longirostris,,Long-snouted Frog,Near threatened,Near Threatened,status change
Litoria sp. cf. cooloolensis (North Stradbroke Is population),,Litoria sp. cf. cooloolensis (North Stradbroke Is population),,,Near threatened,Near Threatened,status change
Ninox rufa meesi,,Ninox (Rhabdoglaux) rufa meesi,,,Near threatened,Near Threatened,status change
Menura alberti,,Menura (Harriwhitea) alberti,,Albert's Lyrebird,Near threatened,Near Threatened,status change
Amytornis barbatus,,Amytornis (Maluropsis) barbatus,,Grey Grasswren,Near threatened,Near Threatened,status change
Amytornis barbatus diamantina,,Amytornis (Maluropsis) barbatus diamantina,,Grey Grasswren,Near threatened,Near Threatened,status change
Amytornis rowleyi,,Amytornis rowleyi,,Rusty Grasswren,Near threatened,Near Threatened,status change
Erythrura trichroa,,Erythrura (Acalanthe) trichroa,,Blue-faced Parrot-finch,Near threatened,Near Threatened,status change
Hemitrygon fluviorum,,Hemitrygon fluviorum,,Estuary Stingaree,Near threatened,Near Threatened,status change
Sminthopsis archeri,,Sminthopsis archeri,,Chestnut Dunnart,Near threatened,Near Threatened,status change
Vombatus ursinus,,Vombatus ursinus,,Bare-nosed Wombat,Near threatened,Near Threatened,status change
Dendrolagus bennettianus,,Dendrolagus bennettianus,,Bennett's Tree-kangaroo,Near threatened,Near Threatened,status change
Dendrolagus lumholtzi,,Dendrolagus lumholtzi,,Lumholtz's Tree-kangaroo,Near threatened,Near Threatened,status change
Hipposideros diadema reginae,,Hipposideros diadema reginae,,,Near threatened,Near Threatened,status change
Taphozous australis,,Taphozous australis,,Coastal Sheathtail Bat,Near threatened,Near Threatened,status change
Emydura subglobosa,,Emydura subglobosa,,Red-flushed River Turtle,Near threatened,Near Threatened,status change
Emydura subglobosa worrelli,,Emydura subglobosa worrelli,,Worrells Turtle,Near threatened,Near Threatened,status change
Lepidodactylus pumilus,,Lepidodactylus pumilus,,Slender Chained Gecko,Near threatened,Near Threatened,status change
Strophurus taenicauda,,Strophurus taenicauda,,Golden-tailed Gecko,Near threatened,Near Threatened,status change
Delma mitella,,Delma mitella,,Legless Lizard,Near threatened,Near Threatened,status change
Varanus prasinus,,Varanus prasinus,,Emerald Monitor,Near threatened,Near Threatened,status change
Ctenotus capricorni,,Ctenotus capricorni,,Capricorn Ctenotus,Near threatened,Near Threatened,status change
Ctenotus schevilli,,Ctenotus schevilli,,Black-soil Rises Ctenotus,Near threatened,Near Threatened,status change
Emoia atrocostata atrocostata,,Emoia atrocostata atrocostata,,,Near threatened,Near Threatened,status change
Lampropholis colossus,,Lampropholis colossus,,Bunya Sunskink,Near threatened,Near Threatened,status change
Lampropholis mirabilis,,Lampropholis mirabilis,,Saxicoline Sunskink,Near threatened,Near Threatened,status change
Lerista ameles,,Lerista ameles,,Limbless Fine-lined Slider,Near threatened,Near Threatened,status change
Lerista hobsoni,,Lerista hobsoni,,Hobson's Fine-line Slider,Near threatened,Near Threatened,status change
Lygisaurus rococo,,Lygisaurus rococo,,Chillagoe Litter-skink,Near threatened,Near Threatened,status change
Anilios silvia,,Anilios silvia,,Cooloola Blind Snake,Near threatened,Near Threatened,status change
