name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Acanthiza pusilla archibaldi,King Island Brown Thornbill,Acanthiza pusilla archibaldi,Endangered,added,,,
Androcalva perkinsiana,,Androcalva perkinsiana,Critically Endangered,added,,,
Asplenium wildii,,Asplenium wildii,Vulnerable,added,,,
Asterolasia asteriscophora subsp. albiflora,White Star-bush,Asterolasia asteriscophora subsp. albiflora,Critically Endangered,added,,,
Bertya sp. Clouds Creek (M. Fatemi 4),,Bertya sp. Clouds Creek (M.Fatemi 4),Endangered,added,,,
Budawangia gnidioides,Budawangs Cliff-heath,Epacris gnidioides,Vulnerable,added,,,
Calamanthus cautus halmaturinus,Shy Heathwren (kangaroo Island),Hylacola cauta halmaturinus,Vulnerable,added,,,
Calamanthus pyrrhopygius parkeri,Chestnut-rumped Heathwren (mount Lofty Ranges),Hylacola pyrrhopygia parkeri,Endangered,added,,,
Calochilus pulchellus,Pretty Beard Orchid,Calochilus pulchellus,Endangered,added,,,
Calyptorhynchus baudinii,Baudin's Black-cockatoo,Zanda baudinii,Endangered,added,,,
Calyptorhynchus latirostris,Carnaby's Cockatoo,Calyptorhynchus latirostris,Endangered,added,,,
Chiloglottis anaticeps,Bird Orchid,Chiloglottis anaticeps,Endangered,added,,,
Ctenotus serotinus,Gravel-downs Ctenotus,Ctenotus serotinus,Critically Endangered,added,,,
Denhamia megacarpa,Large-fruited Denhamia,Denhamia megacarpa,Endangered,added,,,
Geocrinia alba,White-bellied Frog,Geocrinia alba,Critically Endangered,added,,,
Geocrinia vitellina,Yellow-bellied Frog,Geocrinia vitellina,Vulnerable,added,,,
Hemiaspis damelii,Grey Snake,Hemiaspis damelii,Endangered,added,,,
Hibbertia sp. Toolbrunup (J.R.Wheeler 2504),,Hibbertia sp. Toolbrunup (J.R.Wheeler 2504),Critically Endangered,added,,,
Hypolepis distans,Scrambling Ground-fern,Hypolepis distans,Endangered,added,,,
Keyacris scurra,Key's Matchstick Grasshopper,Keyacris scurra,Endangered,added,,,
Leucopogon sp. Coolmunda (D.Halford Q1635),,Leucopogon sp. Coolmunda (D.Halford Q1635),Endangered,added,,,
Lycopodium volubile,Waekāhu,Lycopodium volubile,Extinct,added,,,
Macrozamia johnsonii,Johnson's Cycad,Macrozamia johnsonii,Endangered,added,,,
Marattia salicina,King Fern,Ptisana salicina,Endangered,added,,,
Marsdenia araujacea,,Marsdenia araujacea,Extinct,added,,,
Marsdenia brevifolia,,Marsdenia brevifolia,Vulnerable,added,,,
Marsdenia longiloba,Slender Marsdenia,Marsdenia longiloba,Vulnerable,added,,,
Marsdenia paludicola,,Marsdenia paludicola,Vulnerable,added,,,
Melanotaenia sp. nov. 'Malanda',,Melanotaenia,Critically Endangered,added,,,
Notamacropus parma,Parma Wallaby,Notamacropus parma,Vulnerable,added,,,
Perameles bougainville bougainville,Shark Bay Bandicoot,Perameles bougainville,Endangered,added,,,
Perameles bougainville fasciata,Western Barred Bandicoot (mainland),Perameles bougainville fasciata,Extinct,added,,,
Perameles myosurus,Marl,Perameles myosuros,Extinct,added,,,
Phalaenopsis amabilis subsp. rosenstromii,Native Moth Orchid,Phalaenopsis rosenstromii,Endangered,added,,,
Pleuropappus phyllocalymmeus,Silver Candles,Angianthus phyllocalymmeus,Vulnerable,added,,,
