scientificName,vernacularName,family,genus,sourceStatus,status
Delma impar,Striped Legless Lizard,Pygopodidae,Delma,Vulnerable,Vulnerable
Callocephalon fimbriatum,Gang-gang Cockatoo,Cacatuidae,Callocephalon,Vulnerable,Vulnerable
Cacophis harriettae,White-crowned Snake,Elapidae,Cacophis,Vulnerable,Vulnerable
Litoria booroolongensis,Booroolong Frog,Hylidae,Litoria,Endangered,Endangered
Anthochaera phrygia,Regent Honeyeater,Meliphagidae,Anthochaera,Critically Endangered,Critically Endangered
Calidris tenuirostris,Great Knot,Scolopacidae,Calidris,Vulnerable,Vulnerable
Neochmia ruficauda,Star Finch,Estrildidae,Neochmia,Extinct,Extinct
Uvidicolus sphyrurus,Border Thick-tailed Gecko,Carphodactylidae,Uvidicolus,Vulnerable,Vulnerable
Amaurornis moluccana,Pale-vented Bush-hen,Rallidae,Amaurornis,Vulnerable,Vulnerable
Phascogale tapoatafa,Brush-tailed Phascogale,Dasyuridae,Phascogale,Vulnerable,Vulnerable
Turnix maculosus,Red-backed Button-quail,Turnicidae,Turnix,Vulnerable,Vulnerable
Assa darlingtoni,Pouched Frog,Myobatrachidae,Assa,Vulnerable,Vulnerable
Pseudomys australis,Plains Rat,Muridae,Pseudomys,Vulnerable,Vulnerable
Chaeropus ecaudatus,Pig-footed Bandicoot,Chaeropodidae,Chaeropus,Extinct,Extinct
Tiliqua occipitalis,Western Blue-tongued Lizard,Scincidae,Tiliqua,Vulnerable,Vulnerable
Litoria spenceri,Spotted Tree Frog,Hylidae,Litoria,Critically Endangered,Critically Endangered
Ninox strenua,Powerful Owl,Strigidae,Ninox,Vulnerable,Vulnerable
Limosa limosa,Black-tailed Godwit,Scolopacidae,Limosa,Vulnerable,Vulnerable
Carterornis leucotis,White-eared Monarch,Monarchidae,Carterornis,Vulnerable,Vulnerable
Stagonopleura guttata,Diamond Firetail,Estrildidae,Stagonopleura,Vulnerable,Vulnerable
Litoria subglandulosa,Glandular Frog,Hylidae,Litoria,Vulnerable,Vulnerable
Pseudomys gouldii,Gould's Mouse,Muridae,Pseudomys,Extinct,Extinct
Diomedea exulans,Wandering Albatross,Diomedeidae,Diomedea,Endangered,Endangered
Strophurus elderi,Jewelled Gecko,Diplodactylidae,Strophurus,Vulnerable,Vulnerable
Dermochelys coriacea,Leatherback Turtle,Dermochelyidae,Dermochelys,Endangered,Endangered
Lagorchestes leporides,Eastern Hare-wallaby,Macropodidae,Lagorchestes,Extinct,Extinct
Lichenostomus fasciogularis,Mangrove Honeyeater,Meliphagidae,Lichenostomus,Vulnerable,Vulnerable
Onychogalea lunata,Crescent Nailtail Wallaby,Macropodidae,Onychogalea,Extinct,Extinct
Aepyprymnus rufescens,Rufous Bettong,Potoroidae,Aepyprymnus,Vulnerable,Vulnerable
Echiopsis curta,Bardick,Elapidae,Echiopsis,Endangered,Endangered
Haliaeetus leucogaster,White-bellied Sea-Eagle,Accipitridae,Haliaeetus,Vulnerable,Vulnerable
Tyto tenebricosa,Sooty Owl,Tytonidae,Tyto,Vulnerable,Vulnerable
Pterodroma solandri,Providence Petrel,Procellariidae,Pterodroma,Vulnerable,Vulnerable
Aprasia parapulchella,Pink-tailed Legless Lizard,Pygopodidae,Aprasia,Vulnerable,Vulnerable
Chalinolobus dwyeri,Large-eared Pied Bat,Vespertilionidae,Chalinolobus,Vulnerable,Vulnerable
Ninox connivens,Barking Owl,Strigidae,Ninox,Vulnerable,Vulnerable
