scientificName,vernacularName,family,genus,status,sourceStatus
Ornithorhynchus anatinus,Platypus,ORNITHORHYNCHIDAE,Ornithorhynchus,Endangered,E
Tachyglossus aculeatus multiaculeatus,Short-beaked Echidna (Kangaroo Island),TACHYGLOSSIDAE,Tachyglossus,Endangered,E
Myrmecobius fasciatus,Numbat,MYRMECOBIIDAE,Myrmecobius,Endangered,E
Dasycercus blythi,Brush-tailed Mulgara (Mulgara),DASYURIDAE,Dasycercus,Endangered,E
Dasyuroides byrnei,Kowari,DASYURIDAE,Dasyuroides,Endangered,E
Dasyurus geoffroii,Western Quoll,DASYURIDAE,Dasyurus,Endangered,E
Dasyurus maculatus,Spotted-tailed Quoll (Tiger Quoll),DASYURIDAE,Dasyurus,Endangered,E
Dasyurus viverrinus,Eastern Quoll,DASYURIDAE,Dasyurus,Endangered,E
Antechinus agilis,Agile Antechinus,DASYURIDAE,Antechinus,Endangered,E
Antechinus flavipes,Yellow-footed Antechinus,DASYURIDAE,Antechinus,Vulnerable,V
Antechinus minimus maritimus,Swamp Antechinus (mainland),DASYURIDAE,Antechinus,Endangered,E
Phascogale calura,Red-tailed Phascogale,DASYURIDAE,Phascogale,Endangered,E
Phascogale tapoatafa,Brush-tailed Phascogale,DASYURIDAE,Phascogale,Endangered,E
Sminthopsis fuliginosus aitkeni,Kangaroo Island Dunnart,DASYURIDAE,Sminthopsis,Endangered,E
Sminthopsis psammophila,Sandhill Dunnart,DASYURIDAE,Sminthopsis,Vulnerable,V
Sminthopsis youngsoni,Lesser Hairy-footed Dunnart,DASYURIDAE,Sminthopsis,Rare,R
Macrotis lagotis,Greater Bilby (Bilby),THYLACOMYIDAE,Macrotis,Vulnerable,V
Macrotis leucura,Lesser Bilby,THYLACOMYIDAE,Macrotis,Endangered,E
Chaeropus ecaudatus,Pig-footed Bandicoot,CHAEROPODIDAE,Chaeropus,Endangered,E
Isoodon auratus,Golden Bandicoot,PERAMELIDAE,Isoodon,Endangered,E
Isoodon obesulus nauticus,Southern Brown Bandicoot (Nuyts Archipelago),PERAMELIDAE,Isoodon,Vulnerable,V
