scientificName,vernacularName,generalisation,category
Engaeus australis,Lilly Pilly Burrowing Crayfish,1 km,EN
Engaeus fultoni,Otway Burrowing Crayfish,1 km,EN
Engaeus mallacoota,Mallacoota Burrowing Crayfish,1 km,EN
Engaeus phyllocercus,Narracan Burrowing Crayfish,1 km,EN
Engaeus rostrogaleatus,Strzelecki Burrowing Crayfish,1 km,EN
Engaeus sericatus,Hairy Burrowing Crayfish,1 km,EN
Engaeus sternalis,Warragul Burrowing Crayfish,1 km,EN
Engaeus strictifrons,Portland Burrowing Crayfish,1 km,EN
Engaeus urostrictus,Dandenong Burrowing Crayfish,1 km,EN
Euastacus bidawalus,East Gippsland Spiny Crayfish,1 km,EN
Euastacus claytoni,Claytons Spiny Crayfish,1 km,EN
Euastacus crassus,Alpine Spiny Crayfish,1 km,EN
Galaxias aequipinnis,East Gippsland Galaxias,1 km,EN
Galaxias gunaikurnai,Shaw Galaxias,1 km,EN
Galaxias lanceolatus,Tapered Galaxias,1 km,EN
Galaxias longifundus,West Gippsland Galaxias,1 km,EN
Galaxias mcdowalli,McDowall's Galaxias,1 km,EN
Galaxias mungadhan,Dargo Galaxias,1 km,EN
Galaxias terenasus,Roundsnout Galaxias,1 km,EN
Gramastacus insolitus,Western Swamp Crayfish,1 km,EN
Austrogammarus australis,Dandenong Freshwater Amphipod,1 km,EN
Austrogammarus haasei,Sherbrooke Amphipod,1 km,EN
Colubotelson joyneri,freshwater isopod,1 km,EN
Colubotelson searli,freshwater isopod,1 km,EN
Gariwerdeus beehivensis,freshwater isopod,1 km,EN
Gariwerdeus ingletonensis,freshwater isopod,1 km,EN
Gariwerdeus turretensis,freshwater isopod,1 km,EN
Hemiphlebia mirabilis,Ancient Greenling Damselfly,1 km,EN
Hyridella glenelgensis,Glenelg Freshwater Mussel / Bocara Timbonn,1 km,EN
Leptoperla kallistae,Kallista Flightless Stonefly,1 km,EN
Naiopegia xiphagrostis,freshwater isopod,1 km,EN
Notopala sublineata,River Snail,1 km,EN
Notoperata sparsa,Caddisfly,1 km,EN
Pseudocalliax tooradin,Ghost shrimp,1 km,EN
Ramiheithrus virgatus,Caddisfly,1 km,EN
Riekoperla darlingtoni,Mt Donna Buang Wingless Stonefly,1 km,EN
Riekoperla intermedia,Stonefly,1 km,EN
Riekoperla isosceles,Stonefly,1 km,EN
Tamasia furcilla,Caddisfly,1 km,EN
Taskiria otwayensis,Caddisfly,1 km,EN
Thaumatoperla alpina,Alpine Stonefly,1 km,EN
Thaumatoperla flaveola,Mount Stirling stonefly,1 km,EN
Thaumatoperla robusta,Stonefly,1 km,EN
Thaumatoperla timmsi,Stonefly,1 km,EN
Triaenodes resima,Caddisfly,1 km,EN
Triaenodes uvida,Caddisfly,1 km,EN
