id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,taxonID,scientificNameAuthority,primaryDiscipline,speciesGroup,ffgactstatus,vicadvisorystatus,modified,extractDate,status,sourceStatus,epbcactStatus,restrictedFlag,establishmentMeans
4076889,Ambassis agassizii,Agassiz's Glassfish,Ambassis agassizii,https://biodiversity.org.au/afd/taxa/b0ff773c-19a9-4a1c-88cd-65fb4351276b,dr655,"[{'key': 'taxonID', 'value': '4864'}, {'key': 'scientificNameAuthority', 'value': 'Steindachner, 1867'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Fish'}, {'key': 'ffgactstatus', 'value': 'Extinct'}, {'key': 'vicadvisorystatus', 'value': 'Regionally extinct'}, {'key': 'modified', 'value': '2013-04-04'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Extinct'}, {'key': 'sourceStatus', 'value': 'Extinct'}]",4864,"Steindachner, 1867",Aquatic fauna,Fish,Extinct,Regionally extinct,2013-04-04,2022-06-05,Extinct,Extinct,,,
4077204,Bidyanus bidyanus,Silver Perch,Bidyanus bidyanus,https://biodiversity.org.au/afd/taxa/05866f31-1adb-4709-91f4-41dbff54459f,dr655,"[{'key': 'taxonID', 'value': '528544'}, {'key': 'scientificNameAuthority', 'value': '(Mitchell, 1838)'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Fish'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'epbcactStatus', 'value': 'Critically Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Vulnerable'}, {'key': 'modified', 'value': '2016-05-24'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",528544,"(Mitchell, 1838)",Aquatic fauna,Fish,Endangered,Vulnerable,2016-05-24,2022-06-05,Endangered,Endangered,Critically Endangered,,
4076966,Chelodina expansa,Broad-shelled Turtle,Chelodina (Macrochelodina) expansa,https://biodiversity.org.au/afd/taxa/fc7d0724-a243-4c23-a3bc-8a24f53a2059,dr655,"[{'key': 'taxonID', 'value': '5133'}, {'key': 'scientificNameAuthority', 'value': 'Gray, 1857'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Reptiles'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Endangered'}, {'key': 'modified', 'value': '2014-11-20'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",5133,"Gray, 1857",Aquatic fauna,Reptiles,Endangered,Endangered,2014-11-20,2022-06-05,Endangered,Endangered,,,
4077011,Craterocephalus fluviatilis,Murray Hardyhead,Craterocephalus fluviatilis,https://biodiversity.org.au/afd/taxa/50568ccf-e05e-4d55-885d-5fcf41bb17ef,dr655,"[{'key': 'taxonID', 'value': '4784'}, {'key': 'scientificNameAuthority', 'value': 'McCulloch, 1912'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Fish'}, {'key': 'ffgactstatus', 'value': 'Critically Endangered'}, {'key': 'epbcactStatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Critically endangered'}, {'key': 'modified', 'value': '2013-04-04'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",4784,"McCulloch, 1912",Aquatic fauna,Fish,Critically Endangered,Critically endangered,2013-04-04,2022-06-05,Critically Endangered,Critically Endangered,Endangered,,
4076315,Emydura macquarii,Southern River Turtles,Emydura macquarii,https://biodiversity.org.au/afd/taxa/39c22a1e-e7fa-408a-b7e8-f9a2001889fb,dr655,"[{'key': 'taxonID', 'value': '5135'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Reptiles'}, {'key': 'ffgactstatus', 'value': 'Critically Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Vulnerable'}, {'key': 'modified', 'value': '2013-02-07'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",5135,,Aquatic fauna,Reptiles,Critically Endangered,Vulnerable,2013-02-07,2022-06-05,Critically Endangered,Critically Endangered,,,
4077512,Engaeus australis,Freshwater Crayfish Or Yabby,Engaeus australis,https://biodiversity.org.au/afd/taxa/feada41f-620c-4765-b8b1-f4cd7f7b8b9c,dr655,"[{'key': 'taxonID', 'value': '1686'}, {'key': 'scientificNameAuthority', 'value': 'Riek, 1969'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Critically Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Vulnerable'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2013-12-18'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",1686,"Riek, 1969",Aquatic fauna,"Mussels, decapod crustacea",Critically Endangered,Vulnerable,2013-12-18,2022-06-05,Critically Endangered,Critically Endangered,,rest,
4076325,Engaeus curvisuturus,Freshwater Crayfish Or Yabby,Engaeus curvisuturus,https://biodiversity.org.au/afd/taxa/03ee8ed6-d63b-42d0-9c6f-70e69923d0f0,dr655,"[{'key': 'taxonID', 'value': '1679'}, {'key': 'scientificNameAuthority', 'value': 'Horwitz, 1990'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Endangered'}, {'key': 'modified', 'value': '2014-06-08'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1679,"Horwitz, 1990",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Endangered,2014-06-08,2022-06-05,Endangered,Endangered,,,
4076435,Engaeus fultoni,Otway Burrowing Crayfish,Engaeus fultoni,https://biodiversity.org.au/afd/taxa/7994c955-00e1-47a1-a252-bf251968a0c1,dr655,"[{'key': 'taxonID', 'value': '1674'}, {'key': 'scientificNameAuthority', 'value': 'Smith & Schuster, 1913'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Vulnerable'}, {'key': 'vicadvisorystatus', 'value': 'Vulnerable'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2013-12-18'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",1674,"Smith & Schuster, 1913",Aquatic fauna,"Mussels, decapod crustacea",Vulnerable,Vulnerable,2013-12-18,2022-06-05,Vulnerable,Vulnerable,,rest,
4077155,Engaeus karnanga,South Gippsland Burrowing Crayfish,Engaeus karnanga,https://biodiversity.org.au/afd/taxa/d70b5234-ee78-4ccc-9ec6-a5ef88b40d6d,dr655,"[{'key': 'taxonID', 'value': '1675'}, {'key': 'scientificNameAuthority', 'value': 'Horwitz, 1990'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Endangered'}, {'key': 'modified', 'value': '2013-12-18'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",1675,"Horwitz, 1990",Aquatic fauna,"Mussels, decapod crustacea",Endangered,Endangered,2013-12-18,2022-06-05,Endangered,Endangered,,,
4076613,Engaeus mallacoota,Mallacoota Burrowing Crayfish,Engaeus mallacoota,https://biodiversity.org.au/afd/taxa/bf6f5d52-1a48-462d-b26c-ebc40e9b6c29,dr655,"[{'key': 'taxonID', 'value': '1694'}, {'key': 'scientificNameAuthority', 'value': 'Horwitz, 1990'}, {'key': 'primaryDiscipline', 'value': 'Aquatic fauna'}, {'key': 'speciesGroup', 'value': 'Mussels, decapod crustacea'}, {'key': 'ffgactstatus', 'value': 'Critically Endangered'}, {'key': 'vicadvisorystatus', 'value': 'Vulnerable'}, {'key': 'restrictedFlag', 'value': 'rest'}, {'key': 'modified', 'value': '2013-12-17'}, {'key': 'extractDate', 'value': '2022-06-05'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'sourceStatus', 'value': 'Critically Endangered'}]",1694,"Horwitz, 1990",Aquatic fauna,"Mussels, decapod crustacea",Critically Endangered,Vulnerable,2013-12-17,2022-06-05,Critically Endangered,Critically Endangered,,rest,
