id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,vernacularName,category,WildNetTaxonID,status,generalisation
5545176,Rhinolophus robertsi,Large-eared Horseshoe Bat,Rhinolophus robertsi,https://biodiversity.org.au/afd/taxa/160423d8-6eb0-452e-a3f9-2bca79799848,dr493,"[{'key': 'vernacularName', 'value': 'greater large-eared horseshoe bat'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '969'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",greater large-eared horseshoe bat,EN,969,Endangered,2 km
5544872,Chloebia gouldiae,Gouldian Finch,Chloebia gouldiae,https://biodiversity.org.au/afd/taxa/27d27be2-4adb-407e-9f27-ee2d96164d18,dr493,"[{'key': 'vernacularName', 'value': 'Gouldian finch'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '1376'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Gouldian finch,EN,1376,Endangered,2 km
5545094,Erythrura trichroa,Blue-faced Parrot-finch,Erythrura (Acalanthe) trichroa,https://biodiversity.org.au/afd/taxa/cb632014-1e9a-492c-8f5a-7a6582c72f74,dr493,"[{'key': 'vernacularName', 'value': 'blue-faced parrot-finch'}, {'key': 'category', 'value': 'NT'}, {'key': 'WildNetTaxonID', 'value': '1378'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'generalisation', 'value': '2 km'}]",blue-faced parrot-finch,NT,1378,Near Threatened,2 km
5545269,Neochmia phaeton evangelinae,,Neochmia (Neochmia) phaeton evangelinae,https://biodiversity.org.au/afd/taxa/565b6f37-ddeb-4179-ab44-26c602b814ee,dr493,"[{'key': 'vernacularName', 'value': 'crimson finch (white-bellied subspecies)'}, {'key': 'category', 'value': 'LC'}, {'key': 'WildNetTaxonID', 'value': '1370'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'generalisation', 'value': '2 km'}]",crimson finch (white-bellied subspecies),LC,1370,Least concern,2 km
5544845,Poephila cincta cincta,Black-throated Finch (southern Subspecies),Poephila (Poephila) cincta cincta,https://biodiversity.org.au/afd/taxa/9fe878db-cb42-4934-b27d-d345a09d68df,dr493,"[{'key': 'vernacularName', 'value': 'black-throated finch (white-rumped subspecies)'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '1365'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",black-throated finch (white-rumped subspecies),EN,1365,Endangered,2 km
5544832,Stagonopleura guttata,Diamond Firetail,Stagonopleura (Stagonopleura) guttata,https://biodiversity.org.au/afd/taxa/6e872b58-55d1-443c-a30e-0d90a57e3240,dr493,"[{'key': 'vernacularName', 'value': 'diamond firetail'}, {'key': 'category', 'value': 'VU'}, {'key': 'WildNetTaxonID', 'value': '1355'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'generalisation', 'value': '2 km'}]",diamond firetail,VU,1355,Vulnerable,2 km
5544529,Pachycephala olivacea,Olive Whistler,Pachycephala (Timixos) olivacea,https://biodiversity.org.au/afd/taxa/2063bf6d-973d-4de1-bb0c-dec72f5d019b,dr493,"[{'key': 'vernacularName', 'value': 'olive whistler'}, {'key': 'category', 'value': 'LC'}, {'key': 'WildNetTaxonID', 'value': '1435'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'generalisation', 'value': '2 km'}]",olive whistler,LC,1435,Least concern,2 km
5544958,Anthochaera phrygia,Regent Honeyeater,Anthochaera (Xanthomyza) phrygia,https://biodiversity.org.au/afd/taxa/31869a0e-2ce5-40be-b6f6-c0231a48b414,dr493,"[{'key': 'vernacularName', 'value': 'regent honeyeater'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '1478'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",regent honeyeater,CR,1478,Critically Endangered,2 km
5544884,Epthianura crocea,Yellow Chat,Epthianura (Aurepthianura) crocea,https://biodiversity.org.au/afd/taxa/3ebe27bd-3977-4f7d-b822-bb8013379b3a,dr493,"[{'key': 'vernacularName', 'value': 'yellow chat'}, {'key': 'category', 'value': 'VU'}, {'key': 'WildNetTaxonID', 'value': '1528'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'generalisation', 'value': '2 km'}]",yellow chat,VU,1528,Vulnerable,2 km
5544963,Epthianura crocea crocea,Yellow Chat,Epthianura (Aurepthianura) crocea crocea,https://biodiversity.org.au/afd/taxa/632efd10-a729-48b7-b793-94ff60978652,dr493,"[{'key': 'vernacularName', 'value': 'yellow chat (gulf)'}, {'key': 'category', 'value': 'VU'}, {'key': 'WildNetTaxonID', 'value': '22458'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'generalisation', 'value': '2 km'}]",yellow chat (gulf),VU,22458,Vulnerable,2 km
