Plant family,Scientific name,Status
Hymenophyllaceae,Abrodictyum obscurum,Endangered
Fabaceae,Acacia equisetifolia,Critically endangered
Fabaceae,Acacia latzii,Vulnerable
Fabaceae,Acacia peuce,Endangered
Fabaceae,Acacia pickardii,Listed nationally but not under NT legislation
Fabaceae,Acacia praetermissa,Vulnerable
Fabaceae,Acacia undoolyana,Vulnerable
Apiaceae,Actinotus schwarzii,Vulnerable
Pteridaceae,Adiantum capillus-veneris,Vulnerable
Euphorbiaceae,Amperea spicata,Vulnerable
Marattiaceae,Angiopteris evecta,Vulnerable
Sapindaceae,Atalaya brevialata,Critically endangered
Myrtaceae,Babingtonia behrii,Vulnerable
Cyperaceae,Baumea arthrophylla,Endangered
Dryopteridaceae,Bolbitis quoyana,Vulnerable
Rutaceae,Boronia quadrilata,Vulnerable
Rutaceae,Boronia viridiflora,Vulnerable
Burmanniaceae,Burmannia sp. Bathurst Island,Endangered
Orchidaceae,Calochilus caeruleus,Vulnerable
Cyperaceae,Carex fascicularis,Vulnerable
Rutaceae,Clausena excavata,Critically endangered
Ranunculaceae,Clematis decipiens,Vulnerable
Cleomaceae,Cleome insolata,Vulnerable
Orchidaceae,Crepidium marsupichilum,Vulnerable
Lauraceae,Cryptocarya hypospodia,Endangered
Cycadaceae,Cycas armstrongii,Vulnerable
Santalaceae,Dendromyza reinwardtiana,Vulnerable
Orchidaceae,Dienia montana,Vulnerable
Elaeocarpaceae,Elaeocarpus miegei,Critically endangered
Cyperaceae,Eleocharis papillosa,Vulnerable
Cyperaceae,Eleocharis retroflexa,Listed nationally but not under NT legislation
Lauraceae,Endiandra limnophila,Vulnerable
Myoporaceae,Eremophila prostrata,Listed nationally but not under NT legislation
Erythroxylaceae,Erythroxylum sp. Cholmondely Creek,Endangered
Pandanaceae,Freycinetia excelsa,Vulnerable
Pandanaceae,Freycinetia percostata,Vulnerable
Clusiaceae,Garcinia warrenii,Endangered
Gleicheniaceae,Gleichenia sp. Victoria River,Vulnerable
Goodeniaceae,Goodenia quadrifida,Listed nationally but not under NT legislation
Orchidaceae,Habenaria rumphii,Endangered
Malvaceae,Helicteres macrothrix,Endangered
Dilleniaceae,Hibbertia brennanii,Vulnerable
Dilleniaceae,Hibbertia pancerea,Vulnerable
Dilleniaceae,Hibbertia sp. South Magela,Vulnerable
Dilleniaceae,Hibbertia tricornis,Vulnerable
Malvaceae,Hibiscus brennanii,Vulnerable
Malvaceae,Hibiscus cravenii,Vulnerable
Apocynaceae,Hoya australis subsp. oramicola,Vulnerable
Fabaceae,Intsia bijuga,Critically endangered
Fabaceae,Jacksonia divisa,Vulnerable
Myrtaceae,Lithomyrtus linariifolia,Vulnerable
Arecaceae,"Livistona mariae subsp. Mariae
Red cabbage palm",Endangered
Orchidaceae,Luisia corrugata,Vulnerable
Thelypteridaceae,Macrothelypteris torresiana,Endangered
Zamiaceae,Macrozamia macdonnellii,Listed nationally but not under NT legislation
Cyperaceae,Mapania macrocephala,Vulnerable
Asteraceae,Minuria tridens,Vulnerable
Sapindaceae,Mischocarpus stipitatus,Endangered
Annonaceae,Mitrella tiwiensis,Vulnerable
Pontederiaceae,Monochoria hastata,Vulnerable
Asteraceae,Olearia macdonnellensis,Endangered
Apiaceae,Platysace saxatilis,Vulnerable
Lamiaceae,Prostanthera schultzii,Vulnerable
Melastomataceae,Pternandra coerulescens,Vulnerable
Arecaceae,Ptychosperma macarthurii,Endangered
Euphorbiaceae,Ricinocarpos gloria-medii,Listed nationally but not under NT legislation
Santalaceae,Santalum acuminatum,Vulnerable
Cyperaceae,Schoenus centralis,Vulnerable
Malvaceae,Schoutenia ovata,Endangered
Poaceae,Sporobolus latzii,Vulnerable
Gleicheniaceae,Sticherus flabellatus,Vulnerable
Stylidiaceae,Stylidium ensatum,Endangered
Rubiaceae,Tarennoidea wallichii,Endangered
Orchidaceae,Thrixspermum congestum,Vulnerable
Poaceae,Triodia sp. Matt Wilson,Vulnerable
Araceae,Typhonium jonesii,Endangered
Araceae,Typhonium mirabile,Endangered
Araceae,Typhonium praetermissum,Vulnerable
Araceae,Typhonium sp. Sandover,Vulnerable
Araceae,Typhonium taylori,Endangered
Lentibulariaceae,Utricularia dunstaniae,Vulnerable
Lentibulariaceae,Utricularia singeriana,Vulnerable
Annonaceae,Xylopia monosperma,Endangered
Orchidaceae,Zeuxine oblonga,Vulnerable
