,Scientific name,Common name,Class,WA listing,National listing,Kimberley,Pilbara,Goldfields,Midwest,Wheatbelt,South Coast,Swan,South West,Warren,WA listing.1,Notes
0,Abebaioscia troglodytes,Pannikin Plain Cave isopod,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
1,Acanthophis antarcticus,southern death adder,REPTILE,P3,,,,X,,X,X,X,,,DBCA Priority species.,
2,Acercella poorginup,Poorginup Swamp watermite,INVERTEBRATE,P2,,,,,,,,,,X,DBCA Priority species.,
3,Acizzia mccarthyi,McCarthy's plant-louse,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
4,Acizzia veski,Vesk's plant-louse,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
5,Acrocephalus orientalis,oriental reed-warbler,BIRD,MI,MI,X,,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Second common name removed. 
6,Actitis hypoleucos,common sandpiper,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
7,Aipysurus apraefrontalis,short-nosed seasnake,REPTILE,CR,CR,X,X,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
8,Aipysurus foliosquama,leaf-scaled seasnake,REPTILE,CR,CR,,X,,X,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
9,Amplirhagada astuta,a camaenid land snail (Koolan and Molema Islands),INVERTEBRATE,VU,,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
10,Amplirhagada herbertena,Herbert's camaenid land snail (Buccaneer Archipelago),INVERTEBRATE,P1,,X,,,,,,,,,DBCA Priority species.,
11,Amplirhagada montalivetensis,Montalivet Island camaenid land snail,INVERTEBRATE,P1,,X,,,,,,,,,DBCA Priority species.,
12,Amplirhagada novelta,a camaenid land snail (Napier-Broome Bay),INVERTEBRATE,P1,,X,,,,,,,,,DBCA Priority species.,
13,Amplirhagada questroana,El Questro Station camaenid land snail,INVERTEBRATE,P1,,X,,,,,,,,,DBCA Priority species.,
14,Amytornis housei,black grasswren,BIRD,P4,,X,,,,,,,,,DBCA Priority species.,
15,Amytornis striatus striatus,striated grasswren (sandplain),BIRD,P4,,X,X,X,X,,,,,,DBCA Priority species.,
16,Amytornis textilis textilis,western grasswren,BIRD,P4,,,,X,X,,,,,,DBCA Priority species.,
17,Anilios ganei,Gane's blind snake (Pilbara),REPTILE,P1,,,X,,,,,,,,DBCA Priority species.,
18,Anilios howi,Kimberley deep-soil blind snake (Admiralty Gulf),REPTILE,P2,,X,,,,,,,,,DBCA Priority species.,
19,Anilios longissimus,Barrow Island blind snake,REPTILE,P2,,,X,,,,,,,,DBCA Priority species.,
20,Anilios margaretae,buff snouted blind snake (Lake Throssell),REPTILE,P2,,,,X,,,,,,,DBCA Priority species.,
21,Anilios micromma,small-eyed blind snake (Leopold Downs),REPTILE,P1,,X,,,,,,,,,DBCA Priority species.,
22,Anilios sp. 'Cape Range',Cape Range blind snake,REPTILE,P1,,,X,,,,,,,,DBCA Priority species.,
23,Anilios splendidus,splendid blind snake (North West Cape),REPTILE,P2,,,X,,,,,,,,DBCA Priority species.,
24,Anilios troglodytes,Sandamara blind snake (Napier Range),REPTILE,P1,,X,,,,,,,,,DBCA Priority species.,
25,Anilios yampiensis,Yampi blind snake (Yampi Sound),REPTILE,P2,,X,,,,,,,,,DBCA Priority species.,
26,Anous stolidus,common noddy,BIRD,MI,MI,X,X,,X,,,X,X,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
