,Name ID,Taxon, WA Status,WA Rank,WA IUCN Criteria,EPBC,DBCA Region,DBCA District,Distribution,Flowering Period,Recovery Plan,Notes
0,50593,Abildgaardia pachyptera,1,,,,KIMB,EAST KIMBERLEY,Mitchell Plateau,Feb-Mar,,
1,14112,Abutilon sp. Hamelin (A.M. Ashby 2196),2,,,,MWST,SHARK BAY,"Shark Bay, Hamelin Pool, Yaringa Stn",Jul-Sep,,
2,14110,Abutilon sp. Onslow (F. Smith s.n. 10/9/61),3,,,,PILB,KARRATHA,"Onslow, Yaraloola Stn",Sep,,
3,43021,Abutilon sp. Pritzelianum (S. van Leeuwen 5095),3,,,,"MWST,PILB","KARRATHA,GERALDTON","Carnarvon, Port Headland, Lake McLeod, Gascoyne Junction, Mardathuna Stn., Onslow,","Jun, Aug-Sep",,
4,14114,Abutilon sp. Quobba (H. Demarz 3858),2,,,,"MWST,PILB","EXMOUTH,GERALDTON,SHARK BAY","Quobba, Cape Range, Muggon Stn., Canarvon, Dorre Is., Gascoyne Junction",Jul-Oct,,
5,14155,Abutilon sp. Warburton (A.S. George 8164),1,,,,GOLD,KALGOORLIE,Warburton,,,
6,14044,Acacia adinophylla,1,,,,GOLD,KALGOORLIE,Helena and Aurora Range,Sep-Dec,,
7,44442,Acacia adjutrices,3,,,,WHTB,GREAT SOUTHERN,"Brookton, Pingelly, Tutanning, Darkin Swamp",Aug,,
8,16110,Acacia alata var. platyptera,4,,,,"MWST,SWAN,WHTB","MOORA,PERTH HILLS,GREAT SOUTHERN","Mogumber, New Norcia, Wandoo CP, Brookton, Tutanning",Jun-Aug,,
9,13074,Acacia alexandri,3,,,,PILB,EXMOUTH,"Cape Range, Exmouth",Jun-Sep,,
10,14046,Acacia ampliata,1,,,,MWST,GERALDTON,"Mullewa, Coolcalalaya",,,
11,14047,Acacia amyctica,2,,,,SCST,ESPERANCE,"Peak Charles NP, Salmon Gums",,,
12,3210,Acacia anarthros,3,,,,"MWST,SWAN,WHTB","MOORA,PERTH HILLS,GREAT SOUTHERN","East of Wannamal, Hay Flat NR, Calingiri, Yerecoin, Lake Mears, Pingelly",May-Jun,,
13,43557,Acacia anastomosa,1,,,,KIMB,EAST KIMBERLEY,Carson River Stn.,Apr-Jun,,
14,14585,Acacia ancistrophylla var. lissophylla,2,,,,"SCST,WHTB","ESPERANCE,GREAT SOUTHERN,CENTRAL WHEATBELT","Kalannie, Lake Grace, Dundas N.R., S.A., Vic.",Aug-Sep,,
15,14048,Acacia ancistrophylla var. perarcuata,3,,,,"SCST,WHTB","ESPERANCE,GREAT SOUTHERN,CENTRAL WHEATBELT","Bruce Rock, Carrabin, Mukinbudin, Korbel, Dundas, Mt Andrew,Nungarin, Westonia, Merredin",,,
16,3219,Acacia anomala,T,VU,C2a,VU,SWAN,"PERTH HILLS,SWAN COASTAL","Darling Scarp, Bullsbrook, Muchea, Pickering Brook, Kalamunda, Bickley, Chittering","Aug,Sep",,
17,43580,Acacia anserina,2,,,,KIMB,EAST KIMBERLEY,Prince Regent NP,January,,
18,13073,Acacia aphanoclada,1,,,,PILB,KARRATHA,Nullagine,Aug-Sep,,
19,3220,Acacia aphylla,T,VU,C2a,VU,"SWAN,WHTB","PERTH HILLS,CENTRAL WHEATBELT",Perth - Northam,Aug-Sep,,
20,14049,Acacia aprica,T,CR,"B1ab(iii,v)+2ab(iii,v)",EN,MWST,MOORA,Carnamah - Coorow,Jun-Aug,IRP,
21,14050,Acacia arcuatilis,2,,,,"SCST,WHTB","ALBANY,GREAT SOUTHERN","Camel Peaks, Kulin, Jitarning, Bendering, Pallarup River",Jul-Sep,,
22,3221,Acacia argutifolia,4,,,,SCST,ALBANY,S of Ravensthorpe,Jul-Jan,,
23,14051,Acacia aristulata,T,EN,B1+2c; C2a,EN,MWST,MOORA,"Moora, Jingemia Hill",Sep-Dec,,
24,12248,Acacia ascendens,2,,,,WHTB,CENTRAL WHEATBELT,Chiddarcooping Hill,Jul-Oct,,
25,14052,Acacia asepala,2,,,,"SCST,WHTB","ESPERANCE,CENTRAL WHEATBELT","Frank Hann NP, Marvel Loch, Lake Cronin, Forrestiana",Sep,,
26,14725,Acacia ataxiphylla subsp. ataxiphylla,3,,,,"SCST,WHTB","ALBANY,GREAT SOUTHERN","Albany, Cranbrook, Jingalup, Kojonup, Chillerup, Bokal",Dec,,
27,14687,Acacia ataxiphylla subsp. magna,T,EN,"B1ab(iii,iv,v)+2ab(iii,iv,v); C2a(i); D",EN,WHTB,CENTRAL WHEATBELT,"Charles Gardner Reserve, Cunderdin",Jul,IRP,
