category,subcategory,scientificName,scientificNameAuthorship,vernacularName,ngunnawalName,synonym,acceptedNameUsage,taxonomicStatus,taxonRank,kingdom,phylum,class,order,family,genus,taxonRemarks,conservationStatusACT,conservationStatusAUS,authority,speciesSensitivity,generalisation,sensitivityReason,statusComment
Bird,,Anthochaera phrygia,"(Shaw, 1794)",Regent Honeyeater,,,Anthochaera (Xanthomyza) phrygia,accepted,species,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Anthochaera,,Critically Endangered,Critically Endangered,Nature Conservation Act 2014,Extreme,10km,Risk of disturbance,
Bird,,Botaurus poiciloptilus,"(Wagler, 1827)",Australasian Bittern,,,Botaurus poiciloptilus,accepted,species,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,Botaurus,,Endangered,Endangered,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,ACT Migratory Species
Bird,,Callocephalon fimbriatum,"(Grant, 1803)",Gang-gang Cockatoo,,,Callocephalon fimbriatum,accepted,species,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,,,Endangered,,Sensitive,1km,Breeding trees sensitive to disturbance,Protected Native Species | Trade restricted
Bird,,Climacteris picumnus,"Mathews, 1912",Brown Treecreeper,,Climacteris picumnus victoriae,Climacteris (Climacteris) picumnus,accepted,species,Animalia,Chordata,Aves,Passeriformes,Climacteridae,Climacteris,only subspecies in ACT is subsp. victoriae,Vulnerable,,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,"The subsp. victoriae is listed as threatened in the ACT, all records in the ACT are considered to be the subsp. victoriae"
Bird,,Climacteris picumnus victoriae,"Mathews, 1912",Brown Treecreeper (south-eastern),,Climacteris picumnus,Climacteris (Climacteris) picumnus victoriae,accepted,subspecies,Animalia,Chordata,Aves,Passeriformes,Climacteridae,Climacteris,only subspecies in ACT is subsp. victoriae,Vulnerable,,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,"The subsp. victoriae is listed as threatened in the ACT, all records in the ACT are considered to be the subsp. victoriae"
Bird,,Hieraaetus morphnoides,"(Gould, 1841)",Little Eagle,,,Hieraaetus (Hieraaetus) morphnoides,accepted,species,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,,Vulnerable,,Nature Conservation Act 2014,Sensitive,1km,Breeding trees sensitive to disturbance,
Bird,,Lathamus discolor,"(Shaw, 1790)",Swift Parrot,,,Lathamus discolor,accepted,species,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Lathamus,,Critically Endangered,Critically Endangered,Nature Conservation Act 2014,Extreme,10km,Risk of disturbance,
Bird,,Melanodryas cucullata,"(Latham, 1801)",Hooded Robin,,Melanodryas cucullata cucullata,Melanodryas (Melanodryas) cucullata,accepted,species,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Melanodryas,only subspecies in ACT is subsp. cucullata,Vulnerable,,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,"The subsp. cucullata is listed as threatened in the ACT, all records in the ACT are considered to be the subsp. cucullata"
Bird,,Melanodryas cucullata cucullata,"(Latham, 1801)",Hooded Robin,,Melanodryas cucullata,Melanodryas (Melanodryas) cucullata cucullata,accepted,subspecies,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Melanodryas,only subspecies in ACT is subsp. cucullata,Vulnerable,,Nature Conservation Act 2014,Sensitive,1km,Risk of disturbance,"The subsp. cucullata is listed as threatened in the ACT, all records in the ACT are considered to be the subsp. cucullata"
Bird,,Ninox connivens,"(Latham, 1801)",Barking Owl,,,Ninox (Hieracoglaux) connivens,accepted,species,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ninox,,,,,Sensitive,1km,Risk of disturbance,
