NSXCODE,SPECIESNR,SYNONYM,SUPRAFAMILY,FAMILY,FAMILY_NUM,STATUS,GENUS,SPECIES,SPECIES_AUTHOR,INFRASP_RANK,INFRASP_NAME,INFRASP_AUTHOR,EPBC_STATUS,NPWSA_STATUS,HYBRID,HYBRIDRANK,SYNQUALIFIER,COMMON_NAME_1,COMMON_NAME_2,NW,NW_QUEST,NW_FLAG,LE,LE_QUEST,LE_FLAG,NU,NU_QUEST,NU_FLAG,GT,GT_QUEST,GT_FLAG,FR,FR_QUEST,FR_FLAG,EA,EA_QUEST,EA_FLAG,EP,EP_QUEST,EP_FLAG,NL,NL_QUEST,NL_FLAG,MU,MU_QUEST,MU_FLAG,YP,YP_QUEST,YP_FLAG,SL,SL_QUEST,SL_FLAG,KI,KI_QUEST,KI_FLAG,SE,SE_QUEST,SE_FLAG,Final data modification on: Tuesday 15 March 2022 2:45 AM. Extract created on: Tuesday 15 March 2022 11:40 AM
U03626,7065,0,Pteridophyta,Dennstaedtiaceae,74.015,*,Hypolepis,dicksonioides,(Endl.) Hook.,,,,Vulnerable*,,,,,Downy Ground-fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,*,,,,,,,
Q05796,13115,0,Angiospermae,Rutaceae,91.212,,Correa,calycina,J.M.Black,var.,calycina,,Vulnerable*,Vulnerable,,,,Hindmarsh Correa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,,,,
S05797,13116,0,Angiospermae,Rutaceae,91.212,,Correa,calycina,J.M.Black,var.,halmaturorum,Paul G. Wilson,Vulnerable*,Endangered,,,,Hindmarsh Correa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI,,,,,,
W00919,1778,0,Angiospermae,Proteaceae,91.019,,Grevillea,treueriana,F.Muell.,,,,Vulnerable,Vulnerable,,,,Mt Finke Grevillea,Scarlet Grevillea,,,,,,,,,,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01004,1995,0,Angiospermae,Gyrostemonaceae,91.037,,Codonocarpus,pyramidalis,(F.Muell.) F.Muell.,,,,Vulnerable,Endangered,,,,Slender Bell-fruit,Camel Poison,,,,LE,,,,,,,,,FR,,,EA,,,EP,,,NL,,,MU,,,,,,,,,,,,,,,
U01938,26355,0,Angiospermae,Chenopodiaceae,91.047,,Tecticornia,flabelliformis,(Paul G.Wilson) K.A.Sheph. & Paul G.Wilson,,,,Vulnerable,Vulnerable,,,,Bead Samphire,Bead Glasswort,,,,,,,,,,,,,,,,,,,EP,,,NL,,,,,,YP,,,SL,,,,,,,,,
C01293,2629,0,Angiospermae,Amaranthaceae,91.049,,Ptilotus,beckerianus,(F.Muell.) F.Muell.ex J.M.Black,,,,Vulnerable,Vulnerable,,,,Ironstone Mulla Mulla,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,KI,,,,,,
Q01344,2728,0,Angiospermae,Dilleniaceae,91.105,,Hibbertia,crispula,J.M.Black,,,,Vulnerable,Vulnerable,,,,Ooldea Guinea-flower,,,,,,,,NU,,,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C03397,6690,0,Angiospermae,Cruciferae,91.139,,Lepidium,pseudopapillosum,Thell.,,,,Vulnerable,Endangered,,,,Erect Peppercress,,,,,,,,,,,,,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01452,3017,0,Angiospermae,Cruciferae,91.139,,Microlepidium,alatum,(J.M.Black) E.A.Shaw,,,,Vulnerable,Vulnerable,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,,,,,,,
