NOTE:Fish taxonomy is under review. The fish species are not complete and taxonomic order unchecked  (species listed in blue).,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Invertebrate taxonomy is now being included as required. The invertebrate species are not complete and taxonomic order unchecked (species listed in red).,,,,,,,,,,,,,,,,,,,
TEMPORARY TAXONOMIC SORT ORDER,SPECIESTYPE,CLASSNAME,ORDERNAME,FAMILYNAME,COMMON NAME,NSXCODE,GENUS,SP,SCIENTIFIC NAME,INTRODUCED,NPW ACT STATUS,NPW ACT STATUS COMMENTS,EPBC ACT STATUS,EPBC ACT STATUS COMMENTS,OFFICIAL SPECIES COMMENTS,DATE CREATED IN BDBSA,DATE TAXONOMY MODIFIED IN BDBSA,SPECIES AUTHOR,SUBSPECIES AUTHOR
1,M,MAMMALIA,MONOTREMATA,ORNITHORHYNCHIDAE,Platypus,S01001,Ornithorhynchus,anatinus,Ornithorhynchus anatinus,,E,,,,"Introduced to Kangaroo Island (1928-1946, extant) and reintroduced to sanctuaries in the Onkaparinga catchment (1990s).",1990-03-01 00:00:00,37561,"(Shaw, 1799)",
2,M,MAMMALIA,MONOTREMATA,ORNITHORHYNCHIDAE,,E10510,Ornithorhynchus,sp.,Ornithorhynchus sp.,,,,,,,1990-03-01 00:00:00,37561,,
3,M,MAMMALIA,MONOTREMATA,TACHYGLOSSIDAE,Echidna from Pleistocene,S05461,Megalibgwilia,ramsayi,Megalibgwilia ramsayi,,,,,,Not included in the SA Census. This species in known in SA only from fossil records.,2016-01-12 00:00:00,,Owen 1884,
4,M,MAMMALIA,MONOTREMATA,TACHYGLOSSIDAE,Short-beaked Echidna,W01003,Tachyglossus,aculeatus,Tachyglossus aculeatus,,ssp,KI subspecies is rated.,ssp,ammended 18 June 2015,,1990-03-01 00:00:00,37561,"(Shaw, 1792)",
5,M,MAMMALIA,MONOTREMATA,TACHYGLOSSIDAE,Short-beaked Echidna (Kangaroo Island),C21009,Tachyglossus,aculeatus multiaculeatus,Tachyglossus aculeatus multiaculeatus,,E,Listing official as off 1/Jan/2020.,EN,,,2015-07-03 00:00:00,43066,"(Rothschild, 1905)",
6,M,MAMMALIA,MONOTREMATA,TACHYGLOSSIDAE,,G10511,Tachyglossus,sp.,Tachyglossus sp.,,,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,,
7,M,MAMMALIA,NOTORYCTEMORPHIA,NOTORYCTIDAE,,Q10496,Notoryctes,sp.,Notoryctes sp.,,ssp,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,,
8,M,MAMMALIA,NOTORYCTEMORPHIA,NOTORYCTIDAE,Southern Marsupial Mole (Itjaritjari),S01089,Notoryctes,typhlops,Notoryctes typhlops,,,,,,As off 3/Dec/2015 no longer eligible to be listed as threatened (was EN) at a national level. Delisted from NPW Act 1/Jan/2020.,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Stirling, 1889)",
9,M,MAMMALIA,DASYUROMORPHIA,THYLACINIDAE,Thylacine,G01083,Thylacinus,cynocephalus,Thylacinus cynocephalus,,,,EX,,This species is known only from subfossils in SA.,1990-03-01 00:00:00,2012-05-04 00:00:00,"(Harris, 1808)",
10,M,MAMMALIA,DASYUROMORPHIA,THYLACINIDAE,,Q10188,Thylacinus,sp.,Thylacinus sp.,,,,,,,1990-03-01 00:00:00,2016-01-07 00:00:00,,
11,M,MAMMALIA,DASYUROMORPHIA,MYRMECOBIIDAE,Numbat,M01086,Myrmecobius,fasciatus,Myrmecobius fasciatus,,E,Introduced,EN,Introduced to South Australia. Changed from VU to EN  Feb 2018.,Original populations extinct in SA. Western Australian animals re-introduced to Yookamurra Sanctuary from 1993 (extant) and Arid Recovery/Roxby in 2005 (failed).,1990-03-01 00:00:00,2002-11-01 00:00:00,"Waterhouse, 1836",
12,M,MAMMALIA,DASYUROMORPHIA,MYRMECOBIIDAE,,Z10495,Myrmecobius,sp.,Myrmecobius sp.,,,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,,
13,M,MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Brush-tailed Mulgara (Mulgara),C04277,Dasycercus,blythi,Dasycercus blythi,,E,,,,There has been recent taxonomic revision of this species (Woolley 2005). It was formerly known as D. cristicauda.,2000-08-01 00:00:00,2012-03-23 00:00:00,"(Krefft, 1867)",
14,M,MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Crest-tailed Mulgara (Ampurta),K09005,Dasycercus,cristicauda,Dasycercus cristicauda,,,,,,There has been recent taxonomic revision of this species (Woolley 2005). It was formerly known as D. hillieri.,1990-03-01 00:00:00,2012-03-23 00:00:00,"(Thomas, 1905)",
15,M,MAMMALIA,DASYUROMORPHIA,DASYURIDAE,mulgaras,G10483,Dasycercus,sp.,Dasycercus sp.,,,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,,
16,M,MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Kowari,C01021,Dasyuroides,byrnei,Dasyuroides byrnei,,E,Changed from V to E 1/Jan/2020.,VU,,The Vertebrates of South Australia (Robinson et al. 2000) used the genus Dasycercus but this was not universally accepted elsewhere in Australia.,1990-03-01 00:00:00,2012-08-28 00:00:00,"(Spencer, 1896)",
17,M,MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Western Quoll,U01010,Dasyurus,geoffroii,Dasyurus geoffroii,,E,,VU,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Gould, 1841",
