id,taxonid,scientificName,taxonstatus,authority,taxonurl,taxonID,kingdom,class,family,vernacularName,scientificNameAuthorship,sourceStatus,Significant,status,Endemicity,EPBC Status
234789,918383,Chiloschista phyllorhiza,NT ,Atlas of Living Australia,https://bie.ala.org.au/species/https://id.biodiversity.org.au/name/apni/64872#overview,13325,Plantae,Equisetopsida,Orchidaceae,,(F.Muell.) Schltr.,SL,Y,Special least concern,Queensland Endemic,
152478,83578,Dendrobium kingianum,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,22382,Plantae,Equisetopsida,Orchidaceae,,Bidwill ex Lindl.,SL,Y,Special least concern,Queensland Endemic,
167721,1230189,Liparis angustilabris,LC,Queensland Nature Conservation Act 1992,https://www.data.qld.gov.au/dataset/queensland-confidential-species/resource/7e3dcd53-4d3a-431e-b35c-d1acbc068b2a,12769,Plantae,Equisetopsida,Orchidaceae,,(F.Muell.) Blaxell,C,N,Least concern,Queensland Endemic,
152527,370122,Liparis nugentiae,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,12772,Plantae,Equisetopsida,Orchidaceae,,F.M.Bailey,C,N,Least concern,Queensland Endemic,
152549,369261,Calanthe triplicata,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,14760,Plantae,Equisetopsida,Orchidaceae,christmas orchid,(Willemet) Ames,SL,Y,Special least concern,Not Endemic to Australia,
152563,83579,Dendrobium aemulum,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,13280,Plantae,Equisetopsida,Orchidaceae,ironbark orchid,R.Br.,SL,Y,Special least concern,Intranational,
152856,135897,Lepidozamia hopei,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,16811,Plantae,Equisetopsida,Zamiaceae,Hope's cycad,(W.Hill) Regel,SL,Y,Special least concern,Queensland Endemic,
167635,135898,Lepidozamia peroffskyana,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,12056,Plantae,Equisetopsida,Zamiaceae,shining burrawang,Regel,SL,Y,Special least concern,Intranational,
152485,148240,Eriochilus cucullatus,LC,QLD DEHP,https://www.data.qld.gov.au/dataset/queensland-confidential-species,13952,Plantae,Equisetopsida,Orchidaceae,,(Labill.) Rchb.f.,SL,Y,Special least concern,Intranational,
169248,921753,Eriochilus petricola,LC,QLD DEHP,,30804,Plantae,Equisetopsida,Orchidaceae,,D.L.Jones & M.A.Clem.,C,N,Least concern,Intranational,
