taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,status,Endemicity,EPBC Status,id,taxonid,taxonstatus,authority,taxonurl
969,Animalia,Mammalia,Rhinolophidae,Rhinolophus philippinensis,greater large-eared horseshoe bat,"Waterhouse, 1843",E,Y,Endangered,Regional Endemic,Vulnerable,152602,40664,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
1376,Animalia,Aves,Estrildidae,Chloebia gouldiae,Gouldian finch,"(Gould, 1844)",E,Y,Endangered,Intranational,Endangered,263902,1289379,EN,Atlas of Living Australia,https://bie.ala.org.au/species/urn:lsid:biodiversity.org.au:afd.taxon:21dc0ca1-1639-496b-ba41-e2903491b666
1528,Animalia,Aves,Meliphagidae,Epthianura crocea,yellow chat,"Castelnau & Ramsay, 1877",V,Y,Vulnerable,Intranational,,165447,12647,VU,Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=1528
22459,Animalia,Aves,Meliphagidae,Epthianura crocea macgregori,yellow chat (Dawson),"Keast, 1958",E,Y,Endangered,Queensland Endemic,Critically Endangered,165450,723366,EN,Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=22459
1399,Animalia,Aves,Acanthizidae,Hylacola pyrrhopygia,chestnut-rumped heathwren,"(Vigors & Horsfield, 1827)",C,N,Least concern,Intranational,,152719,72929,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
1568,Animalia,Aves,Maluridae,Amytornis rowleyi,rusty grasswren,"(Gould, 1840)",NT,Y,Near Threatened,Intranational,,152873,509108,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
1549,Animalia,Aves,Maluridae,Stipiturus malachurus,southern emu-wren,"(Shaw, 1798)",V,Y,Vulnerable,Intranational,,152492,12133,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
1133,Animalia,Aves,Psittacidae,Pezoporus occidentalis,night parrot,"Gould, 1861",E,Y,Endangered,Intranational,Endangered,152720,73180,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
481,Animalia,Reptilia,Elapidae,Hoplocephalus stephensii,Stephens' banded snake,"Krefft, 1869",C,N,Least concern,Intranational,,152467,35233,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
541,Animalia,Reptilia,Boidae,Aspidites ramsayi,woma,"(Macleay, 1882)",NT,Y,Near Threatened,Intranational,,152711,32131,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
520,Animalia,Reptilia,Boidae,Morelia viridis,green python,"(Schlegel, 1872)",NT,Y,Near Threatened,Not Endemic to Australia,,152589,32164,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
315,Animalia,Reptilia,Scincidae,Calorodius thorntonensis,Thornton Peak skink,"Greer, 1983",C,N,Least concern,Queensland Endemic,,266221,1403161,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
35480,Animalia,Reptilia,Scincidae,Carlia wundalthini,Cape Melville rainbow skink,"Hoskin, 2014",C,N,Least concern,Queensland Endemic,,152744,539441,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
227,Animalia,Reptilia,Scincidae,Egernia rugosa,yakka skink,"De Vis, 1888",V,Y,Vulnerable,Queensland Endemic,Vulnerable,152772,38607,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
29318,Animalia,Reptilia,Scincidae,Glaphyromorphus clandestinus,Mt Elliot skink,"Hoskin & Couper, 2004",C,N,Least concern,Queensland Endemic,,152455,38404,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
35478,Animalia,Reptilia,Scincidae,Glaphyromorphus othelarrni,Cape Melville bar-lipped skink,"Hoskin & Couper, 2014",C,N,Least concern,Queensland Endemic,,152760,539739,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
161,Animalia,Reptilia,Scincidae,Lerista allanae,Allan's lerista,"(Longman, 1937)",E,Y,Endangered,Queensland Endemic,Endangered,152645,38241,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
125,Animalia,Reptilia,Scincidae,Nangura spinosa,Nangur skink,"Covacevich, Couper & James, 1993",CR,Y,Critically Endangered,Queensland Endemic,Critically Endangered,152752,37918,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
34971,Animalia,Reptilia,Scincidae,Saproscincus saltus,Cape Melville shade skink,"Hoskin, 2013",C,N,Least concern,Queensland Endemic,,152869,540187,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
70,Animalia,Reptilia,Varanidae,Varanus semiremex,rusty monitor,"Peters, 1869",C,N,Least concern,Queensland Endemic,,152553,39474,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
389,Animalia,Reptilia,Carphodactylidae,Orraya occultus,McIlwraith leaf-tailed gecko,"(Couper, Covacevich & Moritz, 1993)",CR,Y,Critically Endangered,Queensland Endemic,,152607,33840,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
22412,Animalia,Reptilia,Carphodactylidae,Phyllurus amnicola,Mount Elliot broad-tailed gecko,"Hoskin, Couper, Schneider & Covacevich 2000",V,Y,Vulnerable,Queensland Endemic,,152570,33932,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
379,Animalia,Reptilia,Carphodactylidae,Phyllurus caudiannulatus,ringed thin-tailed gecko,"Covacevich, 1975",V,Y,Vulnerable,Queensland Endemic,,152741,33934,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
22413,Animalia,Reptilia,Carphodactylidae,Phyllurus championae,Connors' Range broad-tailed gecko,"Schneider, Couper, Hoskin & Covacevich 2000",V,Y,Vulnerable,Queensland Endemic,,152888,33935,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
27779,Animalia,Reptilia,Carphodactylidae,Phyllurus gulbaru,Gulbaru gecko,"Hoskin, Couper & Schneider 2003",CR,Y,Critically Endangered,Queensland Endemic,Critically Endangered,152897,33933,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
380,Animalia,Reptilia,Carphodactylidae,Phyllurus isis,Mount Jukes broad-tailed gecko,"Couper, Covaevich & Moritz, 1993",V,Y,Vulnerable,Queensland Endemic,,152495,33931,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
31986,Animalia,Reptilia,Carphodactylidae,Phyllurus kabikabi,Oakview leaf-tailed gecko,"Couper, Hamley & Hoskin 2008",CR,Y,Critically Endangered,Queensland Endemic,,152805,109464,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
34950,Animalia,Reptilia,Carphodactylidae,Saltuarius eximius,Cape Melville leaf-tailed gecko,"Hoskin & Couper, 2013",CR,Y,Critically Endangered,Queensland Endemic,,152778,540185,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
398,Animalia,Reptilia,Carphodactylidae,Uvidicolus sphyrurus,border thick-tailed gecko,"(Ogilby, 1892)",C,Y,Least concern,Intranational,Vulnerable,152565,33534,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
32050,Animalia,Reptilia,Diplodactylidae,Oedura jowalbinna,Quinkan velvet gecko,"Hoskin & Higgie, 2008",C,N,Least concern,Queensland Endemic,,152862,107382,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
18454,Animalia,Reptilia,Chelidae,Elseya irwini,Irwin's turtle,"Cann, 1997",C,N,Least concern,Queensland Endemic,,152578,39652,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
56,Animalia,Reptilia,Chelidae,Elusor macrurus,Mary River turtle,"Cann & Legler, 1994",E,Y,Endangered,Queensland Endemic,Endangered,152680,39648,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
48,Animalia,Reptilia,Chelidae,Rheodytes leukops,Fitzroy River turtle,"Legler & Cann, 1980",V,Y,Vulnerable,Queensland Endemic,Vulnerable,152821,39605,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
29399,Animalia,Amphibia,Microhylidae,Cophixalus concinnus,beautiful nurseryfrog,"Tyler, 1979",CR,Y,Critically Endangered,Queensland Endemic,Critically Endangered,152841,24764,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
34088,Animalia,Amphibia,Microhylidae,Cophixalus kulakula,Kutini boulder-frog,"Hoskin & Aland, 2011",C,N,Least concern,Queensland Endemic,,152476,134699,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
709,Animalia,Amphibia,Microhylidae,Cophixalus mcdonaldi,Mount Elliot nurseryfrog,"Zweifel, 1985",CR,Y,Critically Endangered,Queensland Endemic,Critically Endangered,152643,24763,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
710,Animalia,Amphibia,Microhylidae,Cophixalus monticola,mountain nurseryfrog,"Richards, Dennis, Trenerry & Werren, 1994",CR,Y,Critically Endangered,Queensland Endemic,Critically Endangered,152820,24773,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
711,Animalia,Amphibia,Microhylidae,Cophixalus neglectus,Bellenden Ker nurseryfrog,"Zweifel, 1962",CR,Y,Critically Endangered,Queensland Endemic,Critically Endangered,152827,24767,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
34089,Animalia,Amphibia,Microhylidae,Cophixalus pakayakulangun,golden-capped boulder-frog,"Hoskin & Aland, 2011",C,N,Least concern,Queensland Endemic,,152754,134700,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
34968,Animalia,Amphibia,Microhylidae,Cophixalus petrophilus,blotched boulder-frog,"Hoskin, 2013",C,N,Least concern,Queensland Endemic,,152449,476576,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
19463,Animalia,Amphibia,Microhylidae,Cophixalus zweifeli,Cape Melville boulderfrog,"Davies & McDonald, 1998",V,Y,Vulnerable,Queensland Endemic,,152521,24780,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
616,Animalia,Amphibia,Hylidae,Litoria longirostris,long snouted treefrog,"Tyler & Davies, 1977",NT,Y,Near Threatened,Queensland Endemic,,152800,23637,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
675,Animalia,Amphibia,Myobatrachidae,Mixophyes fleayi,Fleay's barred frog,"Corben & Ingram, 1987",E,Y,Endangered,Intranational,Endangered,152612,22064,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
676,Animalia,Amphibia,Myobatrachidae,Mixophyes iteratus,giant barred frog,"Straughan, 1968",V,Y,Vulnerable,Intranational,Vulnerable,152886,22065,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
660,Animalia,Amphibia,Myobatrachidae,Pseudophryne covacevichae,magnificent broodfrog,"Ingram & Corben, 1994",V,Y,Vulnerable,Queensland Endemic,Vulnerable,152749,25252,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
653,Animalia,Amphibia,Myobatrachidae,Taudactylus eungellensis,Eungella dayfrog,"Liem & Hosmer, 1973",E,Y,Endangered,Queensland Endemic,Endangered,152658,25290,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
654,Animalia,Amphibia,Myobatrachidae,Taudactylus liemi,Eungella tinkerfrog,"Ingram, 1980",NT,Y,Near Threatened,Queensland Endemic,,152735,25291,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
655,Animalia,Amphibia,Myobatrachidae,Taudactylus pleione,Kroombit tinkerfrog,"Czechura, 1986",CR,Y,Critically Endangered,Queensland Endemic,Critically Endangered,152851,25292,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
656,Animalia,Amphibia,Myobatrachidae,Taudactylus rheophilus,northern tinkerfrog,"Liem & Hosmer, 1973",CR,Y,Critically Endangered,Queensland Endemic,Critically Endangered,152798,25289,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
687,Animalia,Amphibia,Limnodynastidae,Philoria kundagungan,red-and-yellow mountainfrog,"(Ingram & Corben, 1975)",E,Y,Endangered,Intranational,Endangered,152550,22055,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
18163,Animalia,Actinopterygii,Gobiidae,Chlamydogobius micropterus,Elizabeth Springs goby,"Larson, 1995",E,Y,Endangered,Queensland Endemic,Endangered,152584,97552,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
18164,Animalia,Actinopterygii,Gobiidae,Chlamydogobius squamigenus,Edgbaston goby,"Larson, 1995",E,Y,Endangered,Queensland Endemic,Vulnerable,152809,97553,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
32228,Animalia,Actinopterygii,Gobiidae,Stiphodon pelewensis,Daintree cling goby,"Herre, 1936",V,Y,Vulnerable,Not Endemic to Australia,,152489,188491,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
18167,Animalia,Actinopterygii,Percichthyidae,Nannoperca oxleyana,Oxleyan pygmy perch,"Whitley, 1940",V,Y,Vulnerable,Intranational,Endangered,152560,106503,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
18166,Animalia,Actinopterygii,Pseudomugilidae,Pseudomugil mellis,honey blue eye,"Allen & Ivantsoff, 1982",E,Y,Endangered,Queensland Endemic,Vulnerable,152657,111060,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
18165,Animalia,Actinopterygii,Pseudomugilidae,Scaturiginichthys vermeilipinnis,redfin blue eye,"Ivantsoff, Unmack, Saeed & Crowley, 1991",E,Y,Endangered,Queensland Endemic,Endangered,152649,112174,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321
27032,Animalia,Actinopterygii,Melanotaeniidae,Rhadinocentrus ornatus,ornate rainbowfish,"(Regan, 1914)",,N,,Intranational,,152619,530350,No status,QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=27032
