id,taxonid,scientificName,taxonstatus,authority,taxonurl,taxonID,kingdom,class,family,vernacularName,scientificNameAuthorship,sourceStatus,Significant,status,Endemicity,EPBC Status
234789.0,918383.0,Chiloschista phyllorhiza,NT ,Atlas of Living Australia,https://bie.ala.org.au/species/https://id.biodiversity.org.au/name/apni/64872#overview,13325.0,Plantae,Equisetopsida,Orchidaceae,,(F.Muell.) Schltr.,SL,Y,Special least concern,Queensland Endemic,
223427.0,1255510.0,Leionema gracile,VU,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=21778,,,,,,,,,,,
164339.0,577809.0,Lenwebbia prominens,Near threatened,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=25944,,,,,,,,,,,
180872.0,1255393.0,Melaleuca groveana,NT,Atlas of Living Australia,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2892812,,,,,,,,,,,
169815.0,334758.0,Cadellia pentastylis,Vulnerable,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=13670,,,,,,,,,,,
152478.0,83578.0,Dendrobium kingianum,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,22382.0,Plantae,Equisetopsida,Orchidaceae,,Bidwill ex Lindl.,SL,Y,Special least concern,Queensland Endemic,
167721.0,1230189.0,Liparis angustilabris,LC,Queensland Nature Conservation Act 1992,https://www.data.qld.gov.au/dataset/queensland-confidential-species/resource/7e3dcd53-4d3a-431e-b35c-d1acbc068b2a,12769.0,Plantae,Equisetopsida,Orchidaceae,,(F.Muell.) Blaxell,C,N,Least concern,Queensland Endemic,
167722.0,1073668.0,Liparis coelogynoides,LC,Queensland Government,https://www.data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,,,,,,,,,,,
152527.0,370122.0,Liparis nugentiae,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,12772.0,Plantae,Equisetopsida,Orchidaceae,,F.M.Bailey,C,N,Least concern,Queensland Endemic,
152549.0,369261.0,Calanthe triplicata,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,14760.0,Plantae,Equisetopsida,Orchidaceae,christmas orchid,(Willemet) Ames,SL,Y,Special least concern,Not Endemic to Australia,
167723.0,993605.0,Acianthus amplexicaulis,NT,QLD DEHP,https://www.data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,,,,,,,,,,,
167777.0,537331.0,Cassia marksiana,VU,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=14735,,,,,,,,,,,
223428.0,1096375.0,Gonocarpus hirtus,VU,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=29782,,,,,,,,,,,
152563.0,83579.0,Dendrobium aemulum,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,13280.0,Plantae,Equisetopsida,Orchidaceae,ironbark orchid,R.Br.,SL,Y,Special least concern,Intranational,
167753.0,898148.0,Phlegmariurus verticillatus,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,,,,,,,,,,,
160393.0,185435.0,Geijera salicifolia,Least Concern,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=11430,,,,,,,,,,,
167759.0,538000.0,Cryptocarya foetida,VU,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=17577,,,,,,,,,,,
167764.0,954320.0,Dodonaea hirsuta,vulnerable ,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=17374,,,,,,,,,,,
152856.0,135897.0,Lepidozamia hopei,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,16811.0,Plantae,Equisetopsida,Zamiaceae,Hope's cycad,(W.Hill) Regel,SL,Y,Special least concern,Queensland Endemic,
167635.0,135898.0,Lepidozamia peroffskyana,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,12056.0,Plantae,Equisetopsida,Zamiaceae,shining burrawang,Regel,SL,Y,Special least concern,Intranational,
168008.0,538045.0,Hicksbeachia pinnatifolia,VU,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=13878,,,,,,,,,,,
152485.0,148240.0,Eriochilus cucullatus,LC,QLD DEHP,https://www.data.qld.gov.au/dataset/queensland-confidential-species,13952.0,Plantae,Equisetopsida,Orchidaceae,,(Labill.) Rchb.f.,SL,Y,Special least concern,Intranational,
169248.0,921753.0,Eriochilus petricola,LC,QLD DEHP,,30804.0,Plantae,Equisetopsida,Orchidaceae,,D.L.Jones & M.A.Clem.,C,N,Least concern,Intranational,
223429.0,1251295.0,Arundinella grevillensis,VU,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=14813,,,,,,,,,,,
168010.0,1097883.0,Zieria scopulus,CR,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=31680,,,,,,,,,,,
223318.0,1192957.0,Caustis blakei macrantha,VU,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=18196,,,,,,,,,,,
168013.0,136285.0,Callitris baileyi,NT,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=14766,,,,,,,,,,,
152717.0,140454.0,Phaius,Confidential,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=21267,21267.0,Plantae,Equisetopsida,Orchidaceae,,,,N,,Not Endemic to Australia,
223195.0,1125311.0,Zieria bifida,EN,Queensland Nature Conservation Act 1992,https://collections.ala.org.au/public/show/dr652,,,,,,,,,,,
152769.0,82321.0,Spathoglottis,Confidential,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=21522,21522.0,Plantae,Equisetopsida,Orchidaceae,,,,N,,Unknown,
223430.0,1125278.0,Hibbertia hexandra,NT,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=11592,,,,,,,,,,,
223432.0,1039197.0,Pittosporum oreillyanum,NT,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=13124,,,,,,,,,,,
223433.0,786491.0,Westringia sericea,VU,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=13515,,,,,,,,,,,
164693.0,178224.0,Eucryphia jinksii,E,QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=19354,,,,,,,,,,,
168762.0,1240489.0,Archidendron lovelliae,Vulnerable,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=14035,,,,,,,,,,,
169109.0,538060.0,Rhodamnia dumicola,CR,QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=13406,,,,,,,,,,,
223203.0,781886.0,Olearia heterocarpa,NT,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=10030,,,,,,,,,,,
152863.0,83522.0,Diuris sulphurea,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,14608.0,Plantae,Equisetopsida,Orchidaceae,tiger orchid,R.Br.,SL,Y,Special least concern,Intranational,
180749.0,493680.0,Cymbidium canaliculatum,LC,Queensland Department of Environment and Science,https://apps.des.qld.gov.au/species-search/details/?id=17505,17505.0,Plantae,Equisetopsida,Orchidaceae,,R.Br.,SL,Y,Special least concern,Intranational,
170161.0,20115.0,Ninox strenua,VU,Atlas of Living Australia,https://bie.ala.org.au/species/urn:lsid:biodiversity.org.au:afd.taxon:c303a58c-ffb9-4bf6-a71b-5e22299c5ee2#overview,,,,,,,,,,,
169472.0,538012.0,Baloghia marmorata,VU,QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=11369,,,,,,,,,,,
159922.0,1019990.0,Acacia baueri,VU,Queensland,https://www.legislation.qld.gov.au/view/html/inforce/current/sl-2006-0206#sch.3,,,,,,,,,,,
164471.0,321094.0,Cryptostylis erecta,Least concern,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=13277,13277.0,Plantae,Equisetopsida,Orchidaceae,bonnet orchid,R.Br.,SL,Y,Special least concern,Intranational,
