id,taxonid,taxonname,taxonstatus,authority,taxonurl,user_id,taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,status,Endemicity,EPBC Status
152478.0,83578.0,Dendrobium kingianum,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,22382.0,Plantae,Equisetopsida,Orchidaceae,Dendrobium kingianum,,Bidwill ex Lindl.,SL,Y,Special least concern,Queensland Endemic,
152527.0,370122.0,Liparis nugentiae,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,12772.0,Plantae,Equisetopsida,Orchidaceae,Liparis nugentiae,,F.M.Bailey,C,N,Least concern,Queensland Endemic,
152549.0,369261.0,Calanthe triplicata,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,14760.0,Plantae,Equisetopsida,Orchidaceae,Calanthe triplicata,christmas orchid,(Willemet) Ames,SL,Y,Special least concern,Not Endemic to Australia,
152563.0,83579.0,Dendrobium aemulum,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,13280.0,Plantae,Equisetopsida,Orchidaceae,Dendrobium aemulum,ironbark orchid,R.Br.,SL,Y,Special least concern,Intranational,
167753.0,898148.0,Phlegmariurus verticillatus,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,,,,,,,,,,,,
152856.0,135897.0,Lepidozamia hopei,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,16811.0,Plantae,Equisetopsida,Zamiaceae,Lepidozamia hopei,Hope's cycad,(W.Hill) Regel,SL,Y,Special least concern,Queensland Endemic,
152485.0,148240.0,Eriochilus cucullatus,LC,QLD DEHP,https://www.data.qld.gov.au/dataset/queensland-confidential-species,708886.0,13952.0,Plantae,Equisetopsida,Orchidaceae,Eriochilus cucullatus,,(Labill.) Rchb.f.,SL,Y,Special least concern,Intranational,
152717.0,140454.0,Phaius,Confidential,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=21267,708886.0,21267.0,Plantae,Equisetopsida,Orchidaceae,Phaius,,,,N,,Not Endemic to Australia,
152769.0,82321.0,Spathoglottis,Confidential,Queensland Government,https://apps.des.qld.gov.au/species-search/details/?id=21522,708886.0,21522.0,Plantae,Equisetopsida,Orchidaceae,Spathoglottis,,,,N,,Unknown,
152863.0,83522.0,Diuris sulphurea,LC,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,14608.0,Plantae,Equisetopsida,Orchidaceae,Diuris sulphurea,tiger orchid,R.Br.,SL,Y,Special least concern,Intranational,
152510.0,369235.0,Dendrobium canaliculatum,Least concern,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=17449,708886.0,17449.0,Plantae,Equisetopsida,Orchidaceae,Dendrobium canaliculatum,,R.Br.,SL,Y,Special least concern,Not Endemic to Australia,
152804.0,332220.0,Sarcochilus ceciliae,Least concern,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=9187,708886.0,9187.0,Plantae,Equisetopsida,Orchidaceae,Sarcochilus ceciliae,fairy bells,F.Muell.,SL,Y,Special least concern,Intranational,
