wildnetTaxonID,name,status,wildnet_geoprivacy,lsid,scientificName,canonicalName,canonicalNameComplete,type,rankMarker,new_geoprivacy,status_id,taxon_id,user_id,description,iucn,authority,status_inat,geoprivacy,place_id,place_display_name,new_authority,new_description,new_url,new_place_id,new_username,new_iucn_equivalent,new_status,id,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,taxonRank,references
36927,Calanthe masuca x Calanthe vestita,,obscured,ALA_DR493_227,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6156,Chiloglottis sp. (Mango Flat D.L.Jones 2547),Least concern,obscured,ALA_DR493_262,Chiloglottis spec.,Chiloglottis spec.,Chiloglottis spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36585,Corunastylis sp. (Fraser Island NP R.Crane 2063),Special least concern,obscured,ALA_DR652_1392,Corunastylis spec.,Corunastylis spec.,Corunastylis spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36583,Corunastylis sp. (Wyberba D.L.Jones+ 2557),Special least concern,obscured,ALA_DR652_1393,Corunastylis spec.,Corunastylis spec.,Corunastylis spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40864,Dendrobium 'Bunts Bali' x Dendrobium x lavarackianum,,obscured,ALA_DR493_329,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38443,Dendrobium 'Mauna Kea',,obscured,ALA_DR493_330,Dendrobium cv.,Dendrobium cv.,Dendrobium cv. 'Mauna Kea',CULTIVAR,cv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35005,Dendrobium discolor x D.nindii,Least concern,obscured,ALA_DR493_350,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40865,Dendrobium discolor x Dendrobium nindii,Least concern,obscured,https://id.biodiversity.org.au/taxon/apni/51402811,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9305,Dendrobium kingianum x D.speciosum,Least concern,obscured,ALA_DR493_367,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36930,Dendrobium phalaenopsis var. schroederianum x Dendrobium taurinum,,obscured,ALA_DR493_378,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9270,Dendrobium speciosum grandiflorum x Dendrobium speciosum hillii,Least concern,obscured,https://id.biodiversity.org.au/taxon/apni/51402815,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6215,Diuris alba x Diuris chrysantha,Least concern,obscured,https://id.biodiversity.org.au/taxon/apni/51404143,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6015,Diuris sp. (Byfield R.Melzer+ RM651A),Least concern,obscured,https://id.biodiversity.org.au/taxon/apni/51404341,Diuris spec.,Diuris spec.,Diuris spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34218,Pterostylis baptistii x Pterostylis nutans,Least concern,obscured,ALA_DR493_627,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6689,Pterostylis sp. (Gundiah W.W.Abell AQ72188),Near Threatened,obscured,https://id.biodiversity.org.au/taxon/apni/51412360,Pterostylis spec.,Pterostylis spec.,Pterostylis spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6688,Pterostylis sp. (Mt Maroon J.R.Clarkson+ 1114),,obscured,https://id.biodiversity.org.au/taxon/apni/51412370,Pterostylis spec.,Pterostylis spec.,Pterostylis spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5850,Macrozamia fearnsidei x Macrozamia moorei,Least concern,obscured,ALA_DR493_851,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5876,Macrozamia lomandroides x M.pauli-guilielmi,Least concern,obscured,ALA_DR493_854,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32994,Macrozamia lucida x Macrozamia macleayi,Least concern,obscured,ALA_DR493_858,,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18440,Litoria sp. cf. cooloolensis (North Stradbroke Is population),Near Threatened,open,ALA_DR652_29,Litoria spec.,Litoria spec.,Litoria spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27858,Melanotaenia sp. nov. 'Malanda',Critically Endangered,open,https://biodiversity.org.au/afd/taxa/a95107e3-8d69-4bbe-b2e8-97f26341cb7d,Melanotaenia spec.,Melanotaenia spec.,Melanotaenia spec. 'Malanda',CULTIVAR,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27859,Melanotaenia sp. nov. 'Running River',Critically Endangered,open,https://biodiversity.org.au/afd/taxa/a95107e3-8d69-4bbe-b2e8-97f26341cb7d,Melanotaenia spec.,Melanotaenia spec.,Melanotaenia spec. 'Running River',CULTIVAR,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32078,Gunniopsis sp. (Edgbaston R.J.Fensham 5094),Endangered,open,ALA_DR652_374,Gunniopsis spec.,Gunniopsis spec.,Gunniopsis spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6897,Tetramolopium sp. (Mt Bowen D.G.Fell+ DGF1224),Vulnerable,open,https://id.biodiversity.org.au/node/apni/2901383,Tetramolopium spec.,Tetramolopium spec.,Tetramolopium spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19356,Burmannia sp. (Melville Island R.J.Fensham 2909),Special least concern,open,ALA_DR652_547,Burmannia spec.,Burmannia spec.,Burmannia spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7361,Lasiopetalum sp. (Proston J.A.Baker 17),Endangered,open,https://id.biodiversity.org.au/node/apni/2897945,Lasiopetalum spec.,Lasiopetalum spec.,Lasiopetalum spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41704,Styphelia sp. (Coolmunda D.Halford Q1635),Endangered,open,ALA_DR652_770,Styphelia spec.,Styphelia spec.,Styphelia spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7445,Prostanthera sp. (Dunmore D.M.Gordon 8A),Vulnerable,open,https://id.biodiversity.org.au/node/apni/2910678,Prostanthera spec.,Prostanthera spec.,Prostanthera spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
