action,taxon_name,id,taxon_id,status,iucn_equivalent,authority,url,geoprivacy,place_id,username,description
UPDATE,Adiantum capillus-veneris,152329,63916,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2887223,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Anogramma leptophylla,162866,180646,Rare,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51299828,open,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Arthropodium milleflorum,152354,522233,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2902983,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Blechnum chambersii,152381,323506,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51269276,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Brachyscome diversifolia,152402,520376,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51267772,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Burhinus grallarius,170250,4925,Rare,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/cd4e3b1b-4387-4338-8fc8-0da4f30a9e0b,open,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Caladenia calcicola,152379,557461,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51398869,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Caladenia clavigera,152343,553187,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51398897,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Caladenia colorata,170258,950220,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51398907,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Caladenia fragrantissima,152359,894302,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51399032,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Caladenia fulva,152363,555490,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51399036,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Caladenia ornata,152355,570398,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51399233,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Caladenia parva,152418,516622,Rare,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51399247,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Caladenia valida,152424,824573,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51399434,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Caladenia venusta,152386,464078,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51399441,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Caleana major,152384,321088,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51399670,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Callitriche umbonata,152347,356092,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2900062,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Calocephalus lacteus,152365,552411,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2888928,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Calochilus paludosus,152340,400292,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51400229,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Chiloglottis cornuta,152339,147192,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51400594,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Chiloglottis trapeziformis,152356,409228,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51400630,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Corybas fordhamii,152335,796558,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51401047,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Craspedia paludicola,152345,854359,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/6978320,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Cryptostylis subulata,152330,321092,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51401161,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Dasyurus maculatus,169025,40166,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/617e069f-eb5c-40ec-a027-f5fd40e5145d,open,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Daviesia pectinata,170156,892980,Rare,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2906277,open,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Dennstaedtia davallioides,152338,401306,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2891972,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Dianella callicarpa,152412,603170,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2909868,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Dicksonia antarctica,152371,143921,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2914933,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Diomedea epomophora,170277,508987,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/2c982d88-e796-46bf-91f6-479fcfa3a310,open,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Dipodium campanulatum,152361,829435,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51403385,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Dipodium pardalinum,152392,492231,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51403393,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Dipodium punctatum,152416,334813,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51403397,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Diuris behrii,152420,553104,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51404169,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Diuris brevifolia,152364,792282,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51404175,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Diuris chryseopsis,152358,553092,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51404193,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Elanus scriptus,152400,5274,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/4a6524fb-b256-4790-a877-e5f10502da93,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Eremophila praecox,263072,1370481,Rare,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2909808,open,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Eryngium ovinum,224105,558112,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2908719,open,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Gastrodia vescula,152407,429631,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51405973,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Genoplesium despectans,152388,554386,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51406009,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Genoplesium morrisii,152425,446738,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51406029,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Histiopteris incisa,152396,282481,Endangered,Endangered,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2903289,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
UPDATE,Lagenophora sublyrata,163879,1094266,Vulnerable,Vulnerable,South Australia Department for Environment and Water,https://bie.ala.org.au/species/https://id.biodiversity.org.au/name/apni/51338482,obscured,6899,peggydnew,Listed as Threatened - refer to https://www.environment.sa.gov.au/topics/plants-and-animals/threatened-species-and-ecological-communities/threatened-species
