vba_taxonID,vba_name,vba_status,vba_geoprivacy,lsid,scientificName,type,genusOrAbove,specificEpithet,parsed,parsedPartially,canonicalName,canonicalNameComplete,canonicalNameWithMarker,rankMarker,infraSpecificEpithet,infraGeneric,sensu,bracketAuthorship,remarks,notho,authorship,vba_scientificName,new_geoprivacy,status_id,scientificName_x,taxon_id,user_id,description,iucn,authority,status,geoprivacy,place_id,place_display_name,new_url,new_description,new_authority,new_place_id,new_username,new_iucn_equivalent,new_status,id,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,infraspecificEpithet,modified,scientificName_y,taxonRank,references
505589,Caladenia sp. aff. fragrantissima (Central Victoria),Critically Endangered,obscured,ALA_DR490_93,Caladenia sp. aff. fragrantissima (Central Victoria),INFORMAL,Caladenia,,True,True,Caladenia spec.,Caladenia spec.,Caladenia spec.,sp.,,,,,,,,Caladenia spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505431,Caladenia sp. aff. venusta (Kilsyth South),Critically Endangered,obscured,https://id.biodiversity.org.au/taxon/apni/51399359,Caladenia sp. aff. venusta (Kilsyth South),INFORMAL,Caladenia,,True,True,Caladenia spec.,Caladenia spec.,Caladenia spec.,sp.,,,,,,,,Caladenia spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903498,Galaxias sp. 14,Critically Endangered,open,https://biodiversity.org.au/afd/taxa/c2bcc474-938b-4a02-aeaf-59f22483ff7c,Galaxias sp. 14,INFORMAL,Galaxias,sp.14,True,False,Galaxias sp.14,Galaxias sp.14,Galaxias sp.14,sp.,,,,,,,,Galaxias sp.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903041,Nannoperca sp. 1,Vulnerable,open,ALA_DR655_1698,Nannoperca sp. 1,INFORMAL,Nannoperca,sp.1,True,False,Nannoperca sp.1,Nannoperca sp.1,Nannoperca sp.1,sp.,,,,,,,,Nannoperca sp.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503699,Arthropodium sp. 1 (robust glaucous),Endangered,open,ALA_DR655_657,Arthropodium sp. 1 (robust glaucous),INFORMAL,Arthropodium,sp.1(robust glaucous),True,False,Arthropodium sp.1(robust-glaucous),Arthropodium sp.1(robust-glaucous),Arthropodium sp.1(robust-glaucous),sp.,,,,,,,,Arthropodium sp.1(robust-glaucous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504122,Astrotricha asperifolia subsp. 2,Endangered,open,https://id.biodiversity.org.au/node/apni/2911958,Astrotricha asperifolia subsp. 2,INFORMAL,Astrotricha,asperifolia,True,True,Astrotricha asperifolia subsp.,Astrotricha asperifolia subsp.,Astrotricha asperifolia subsp.,subsp.,,,,,,,,Astrotricha asperifolia subsp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505604,Astrotricha linearis subsp. 1,Endangered,open,https://id.biodiversity.org.au/node/apni/2895901,Astrotricha linearis subsp. 1,INFORMAL,Astrotricha,linearis,True,True,Astrotricha linearis subsp.,Astrotricha linearis subsp.,Astrotricha linearis subsp.,subsp.,,,,,,,,Astrotricha linearis subsp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505605,Astrotricha linearis subsp. 2,Endangered,open,https://id.biodiversity.org.au/node/apni/2916765,Astrotricha linearis subsp. 2,INFORMAL,Astrotricha,linearis,True,True,Astrotricha linearis subsp.,Astrotricha linearis subsp.,Astrotricha linearis subsp.,subsp.,,,,,,,,Astrotricha linearis subsp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505606,Astrotricha parvifolia subsp. 1,Critically Endangered,open,https://id.biodiversity.org.au/node/apni/2903101,Astrotricha parvifolia subsp. 1,INFORMAL,Astrotricha,parvifolia,True,True,Astrotricha parvifolia subsp.,Astrotricha parvifolia subsp.,Astrotricha parvifolia subsp.,subsp.,,,,,,,,Astrotricha parvifolia subsp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505607,Astrotricha parvifolia subsp. 2,Endangered,open,https://id.biodiversity.org.au/node/apni/2895186,Astrotricha parvifolia subsp. 2,INFORMAL,Astrotricha,parvifolia,True,True,Astrotricha parvifolia subsp.,Astrotricha parvifolia subsp.,Astrotricha parvifolia subsp.,subsp.,,,,,,,,Astrotricha parvifolia subsp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505602,Astrotricha sp. 1 subsp. 1,Endangered,open,https://id.biodiversity.org.au/node/apni/2891065,Astrotricha sp. 1 subsp. 1,INFORMAL,Astrotricha,sp.1,True,True,Astrotricha sp.1,Astrotricha sp.1,Astrotricha sp.1,sp.,,,,,,,,Astrotricha sp.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505603,Astrotricha sp. 1 subsp. 2,Vulnerable,open,https://id.biodiversity.org.au/node/apni/2914107,Astrotricha sp. 1 subsp. 2,INFORMAL,Astrotricha,sp.1,True,True,Astrotricha sp.1,Astrotricha sp.1,Astrotricha sp.1,sp.,,,,,,,,Astrotricha sp.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504241,Astrotricha sp. 2,Critically Endangered,open,https://id.biodiversity.org.au/node/apni/6920815,Astrotricha sp. 2,INFORMAL,Astrotricha,sp.2,True,False,Astrotricha sp.2,Astrotricha sp.2,Astrotricha sp.2,sp.,,,,,,,,Astrotricha sp.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505608,Astrotricha sp. 3,Endangered,open,https://id.biodiversity.org.au/node/apni/2918080,Astrotricha sp. 3,INFORMAL,Astrotricha,sp.3,True,False,Astrotricha sp.3,Astrotricha sp.3,Astrotricha sp.3,sp.,,,,,,,,Astrotricha sp.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500307,Astrotricha sp. 4,Vulnerable,open,https://id.biodiversity.org.au/node/apni/2895923,Astrotricha sp. 4,INFORMAL,Astrotricha,sp.4,True,False,Astrotricha sp.4,Astrotricha sp.4,Astrotricha sp.4,sp.,,,,,,,,Astrotricha sp.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505609,Astrotricha sp. 5,Critically Endangered,open,https://id.biodiversity.org.au/node/apni/6922341,Astrotricha sp. 5,INFORMAL,Astrotricha,sp.5,True,False,Astrotricha sp.5,Astrotricha sp.5,Astrotricha sp.5,sp.,,,,,,,,Astrotricha sp.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505590,Caladenia sp. aff. fragrantissima (Inverleigh),Critically Endangered,open,https://id.biodiversity.org.au/taxon/apni/51399355,Caladenia sp. aff. fragrantissima (Inverleigh),INFORMAL,Caladenia,,True,True,Caladenia spec.,Caladenia spec.,Caladenia spec.,sp.,,,,,,,,Caladenia spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505430,Caladenia sp. aff. rosella (Violet Town),Critically Endangered,open,https://id.biodiversity.org.au/taxon/apni/51399371,Caladenia sp. aff. rosella (Violet Town),INFORMAL,Caladenia,,True,True,Caladenia spec.,Caladenia spec.,Caladenia spec.,sp.,,,,,,,,Caladenia spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505569,Carpobrotus aff. rossii (N.W. Victoria),Critically Endangered,open,ALA_DR655_151,Carpobrotus aff. rossii (N.W. Victoria),INFORMAL,Carpobrotus,rossii,True,False,Carpobrotus rossii,Carpobrotus rossii (N.W.Victoria),Carpobrotus rossii,sp.,,,,N.W.Victoria, aff. rossii,,,Carpobrotus rossii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505249,Corybas sp. aff. diemenicus (Coastal),Critically Endangered,open,https://id.biodiversity.org.au/taxon/apni/51401067,Corybas sp. aff. diemenicus (Coastal),INFORMAL,Corybas,,True,True,Corybas spec.,Corybas spec.,Corybas spec.,sp.,,,,,,,,Corybas spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505560,Dianella sp. aff. longifolia (Benambra),Threatened,open,https://id.biodiversity.org.au/node/apni/2915435,Dianella sp. aff. longifolia (Benambra),INFORMAL,Dianella,,True,True,Dianella spec.,Dianella spec.,Dianella spec.,sp.,,,,,,,,Dianella spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505786,Dichondra sp. 1,Endangered,open,https://id.biodiversity.org.au/node/apni/2902718,Dichondra sp. 1,INFORMAL,Dichondra,sp.1,True,False,Dichondra sp.1,Dichondra sp.1,Dichondra sp.1,sp.,,,,,,,,Dichondra sp.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505682,Diuris sp. aff. dendrobioides (Bairnsdale),Critically Endangered,open,https://id.biodiversity.org.au/taxon/apni/51404339,Diuris sp. aff. dendrobioides (Bairnsdale),INFORMAL,Diuris,,True,True,Diuris spec.,Diuris spec.,Diuris spec.,sp.,,,,,,,,Diuris spec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528435,Dryopoa dives subsp. B,Vulnerable,open,https://id.biodiversity.org.au/node/apni/2901229,Dryopoa dives subsp. B,INFORMAL,Dryopoa,dives,True,False,Dryopoa dives subsp.,Dryopoa dives subsp.,Dryopoa dives subsp.,subsp.,,,,,,,,Dryopoa dives subsp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900795,Eucalyptus aff. camaldulensis (Torrumbarry),Endangered,open,ALA_DR655_919,Eucalyptus aff. camaldulensis (Torrumbarry),INFORMAL,Eucalyptus,camaldulensis,True,False,Eucalyptus camaldulensis,Eucalyptus camaldulensis (Torrumbarry),Eucalyptus camaldulensis,sp.,,,,Torrumbarry, aff. camaldulensis,,,Eucalyptus camaldulensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505211,Eucalyptus cypellocarpa x globulus subsp. pseudoglobulus,Endangered,open,ALA_DR655_929,Eucalyptus cypellocarpa x globulus subsp. pseudoglobulus,HYBRID,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505698,Euphrasia collina subsp. 1,Critically Endangered,open,https://id.biodiversity.org.au/node/apni/2916655,Euphrasia collina subsp. 1,INFORMAL,Euphrasia,collina,True,True,Euphrasia collina subsp.,Euphrasia collina subsp.,Euphrasia collina subsp.,subsp.,,,,,,,,Euphrasia collina subsp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505342,Geranium sp. 1,Critically Endangered,open,https://id.biodiversity.org.au/node/apni/2892802,Geranium sp. 1,INFORMAL,Geranium,sp.1,True,False,Geranium sp.1,Geranium sp.1,Geranium sp.1,sp.,,,,,,,,Geranium sp.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505344,Geranium sp. 3,Endangered,open,https://id.biodiversity.org.au/node/apni/2899335,Geranium sp. 3,INFORMAL,Geranium,sp.3,True,False,Geranium sp.3,Geranium sp.3,Geranium sp.3,sp.,,,,,,,,Geranium sp.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505347,Geranium sp. 6,Endangered,open,https://id.biodiversity.org.au/node/apni/2919765,Geranium sp. 6,INFORMAL,Geranium,sp.6,True,False,Geranium sp.6,Geranium sp.6,Geranium sp.6,sp.,,,,,,,,Geranium sp.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505281,Muehlenbeckia diclina subsp. 1,Vulnerable,open,https://id.biodiversity.org.au/node/apni/2887054,Muehlenbeckia diclina subsp. 1,INFORMAL,Muehlenbeckia,diclina,True,True,Muehlenbeckia diclina subsp.,Muehlenbeckia diclina subsp.,Muehlenbeckia diclina subsp.,subsp.,,,,,,,,Muehlenbeckia diclina subsp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
