Unnamed: 0,id,name,commonName,scientificName_x,lsid,dataResourceUid,kvpValues,taxonId,W A  Status,D B C A  District,Distribution,status,sourceStatus,status description,category,sensitivityZoneId,W A  Rank,taxonRemarks,scientificName_y,canonicalName,canonicalNameComplete,type,rankMarker,wa_taxonID,wa_scientificName,wa_status,new_geoprivacy,status_id,taxon_id,user_id,description,iucn,authority,geoprivacy,place_id,place_display_name,new_url,new_description,new_authority,new_place_id,new_username,new_iucn_equivalent,new_status,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,taxonRank,references
0,2818496,Abutilon sp. Hamelin (A.M. Ashby 2196),,Abutilon sp. Hamelin (A.M.Ashby 2196),https://id.biodiversity.org.au/node/apni/2898729,dr18406,"[{'key': 'taxonId', 'value': '14112'}, {'key': 'W A  Status', 'value': '2'}, {'key': 'D B C A  District', 'value': 'Shark Bay'}, {'key': 'Distribution', 'value': 'Shark Bay, Hamelin Pool, Yaringa Stn'}, {'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}, {'key': 'status description', 'value': 'Priority 2: Poorly-known species - known from few locations, some on conservation lands'}, {'key': 'category', 'value': 'P2'}, {'key': 'sensitivityZoneId', 'value': 'WA'}]",14112,2,Shark Bay,"Shark Bay, Hamelin Pool, Yaringa Stn",Priority 2: Poorly-known species,P2,"Priority 2: Poorly-known species - known from few locations, some on conservation lands",P2,WA,,,Abutilon sp. Hamelin (A.M. Ashby 2196),Abutilon spec.,Abutilon spec. Hamelin,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2821218,Abutilon sp. Onslow (F. Smith s.n. 10/9/61),,Abutilon sp. Onslow (F. Smith s.n. 10/9/61),ALA_DR2201_3101,dr18406,"[{'key': 'taxonId', 'value': '14110'}, {'key': 'W A  Status', 'value': '3'}, {'key': 'D B C A  District', 'value': 'Karratha'}, {'key': 'Distribution', 'value': 'Onslow, Yaraloola Stn'}, {'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}, {'key': 'status description', 'value': 'Priority 3: Poorly-known species - known from several locations'}, {'key': 'category', 'value': 'P3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}]",14110,3,Karratha,"Onslow, Yaraloola Stn",Priority 3: Poorly-known species,P3,Priority 3: Poorly-known species - known from several locations,P3,WA,,,Abutilon sp. Onslow (F. Smith s.n. 10/9/61),Abutilon spec.,Abutilon spec. Onslow,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2819452,Abutilon sp. Pritzelianum (S. van Leeuwen 5095),,Abutilon sp. Pritzelianum (S.van Leeuwen 5095),https://id.biodiversity.org.au/node/apni/2905152,dr18406,"[{'key': 'taxonId', 'value': '43021'}, {'key': 'W A  Status', 'value': '3'}, {'key': 'D B C A  District', 'value': 'Karratha,Geraldton'}, {'key': 'Distribution', 'value': 'Carnarvon, Port Headland, Lake McLeod, Gascoyne Junction, Mardathuna Stn., Onslow,'}, {'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}, {'key': 'status description', 'value': 'Priority 3: Poorly-known species - known from several locations'}, {'key': 'category', 'value': 'P3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}]",43021,3,"Karratha,Geraldton","Carnarvon, Port Headland, Lake McLeod, Gascoyne Junction, Mardathuna Stn., Onslow,",Priority 3: Poorly-known species,P3,Priority 3: Poorly-known species - known from several locations,P3,WA,,,Abutilon sp. Pritzelianum (S. van Leeuwen 5095),Abutilon spec.,Abutilon spec. Pritzelianum,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2820137,Abutilon sp. Quobba (H. Demarz 3858),,Abutilon sp. Quobba (H.Demarz 3858),https://id.biodiversity.org.au/node/apni/2920532,dr18406,"[{'key': 'taxonId', 'value': '14114'}, {'key': 'W A  Status', 'value': '2'}, {'key': 'D B C A  District', 'value': 'Exmouth,Geraldton,Shark Bay'}, {'key': 'Distribution', 'value': 'Quobba, Cape Range, Muggon Stn., Canarvon, Dorre Is., Gascoyne Junction'}, {'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}, {'key': 'status description', 'value': 'Priority 2: Poorly-known species - known from few locations, some on conservation lands'}, {'key': 'category', 'value': 'P2'}, {'key': 'sensitivityZoneId', 'value': 'WA'}]",14114,2,"Exmouth,Geraldton,Shark Bay","Quobba, Cape Range, Muggon Stn., Canarvon, Dorre Is., Gascoyne Junction",Priority 2: Poorly-known species,P2,"Priority 2: Poorly-known species - known from few locations, some on conservation lands",P2,WA,,,Abutilon sp. Quobba (H. Demarz 3858),Abutilon spec.,Abutilon spec. Quobba,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2819481,Abutilon sp. Warburton (A.S. George 8164),,Abutilon sp. Warburton (A.S.George 8164),https://id.biodiversity.org.au/node/apni/2890423,dr18406,"[{'key': 'taxonId', 'value': '14155'}, {'key': 'W A  Status', 'value': '1'}, {'key': 'D B C A  District', 'value': 'Kalgoorlie'}, {'key': 'Distribution', 'value': 'Warburton'}, {'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}, {'key': 'status description', 'value': 'Priority 1: Poorly-known species - known from few locations, none on conservation lands'}, {'key': 'category', 'value': 'P1'}, {'key': 'sensitivityZoneId', 'value': 'WA'}]",14155,1,Kalgoorlie,Warburton,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",P1,WA,,,Abutilon sp. Warburton (A.S. George 8164),Abutilon spec.,Abutilon spec. Warburton,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2819171,Acacia monticola x tumida var. kulparn,,Acacia monticola x tumida var. kulparn,ALA_DR2201_788,dr18406,"[{'key': 'taxonId', 'value': '42183'}, {'key': 'W A  Status', 'value': '3'}, {'key': 'D B C A  District', 'value': 'West Kimberley'}, {'key': 'Distribution', 'value': 'Broome, James Price Point, Perpendicular Head, Derby, Kimberley Downs Stn., Bina Stn.'}, {'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}, {'key': 'status description', 'value': 'Priority 3: Poorly-known species - known from several locations'}, {'key': 'category', 'value': 'P3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}]",42183,3,West Kimberley,"Broome, James Price Point, Perpendicular Head, Derby, Kimberley Downs Stn., Bina Stn.",Priority 3: Poorly-known species,P3,Priority 3: Poorly-known species - known from several locations,P3,WA,,,Acacia monticola x tumida var. kulparn,,,HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2818026,Acacia sp. Bigge Island (A.A. Mitchell 3436),,Acacia sp. Bigge Island (A.A. Mitchell 3436),ALA_DR2201_2601,dr18406,"[{'key': 'taxonId', 'value': '31593'}, {'key': 'W A  Status', 'value': '1'}, {'key': 'D B C A  District', 'value': 'East Kimberley'}, {'key': 'Distribution', 'value': 'E of Bigge Is.'}, {'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}, {'key': 'status description', 'value': 'Priority 1: Poorly-known species - known from few locations, none on conservation lands'}, {'key': 'category', 'value': 'P1'}, {'key': 'sensitivityZoneId', 'value': 'WA'}]",31593,1,East Kimberley,E of Bigge Is.,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",P1,WA,,,Acacia sp. Bigge Island (A.A. Mitchell 3436),Acacia spec.,Acacia spec. Bigge Island,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2821763,Acacia sp. Binningup (G. Cockerton et al. WB 37784),,Acacia sp. Binningup (G.Cockerton et al. WB 37784),https://id.biodiversity.org.au/name/apni/51306337,dr18406,"[{'key': 'taxonId', 'value': '48762'}, {'key': 'W A  Status', 'value': '1'}, {'key': 'D B C A  District', 'value': 'Blackwood,Wellington'}, {'key': 'Distribution', 'value': 'Binningup, Busselton'}, {'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}, {'key': 'status description', 'value': 'Priority 1: Poorly-known species - known from few locations, none on conservation lands'}, {'key': 'category', 'value': 'P1'}, {'key': 'sensitivityZoneId', 'value': 'WA'}]",48762,1,"Blackwood,Wellington","Binningup, Busselton",Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",P1,WA,,,Acacia sp. Binningup (G. Cockerton et al. WB 37784),Acacia spec.,Acacia spec. Binningup,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2817492,Acacia sp. Cockburn Range (R. Pullen 10. 763),,Acacia sp. Cockburn Range (R.Pullen 10.763),https://id.biodiversity.org.au/node/apni/2897323,dr18406,"[{'key': 'taxonId', 'value': '18608'}, {'key': 'W A  Status', 'value': '3'}, {'key': 'D B C A  District', 'value': 'East Kimberley'}, {'key': 'Distribution', 'value': 'Cockburn Range, Gibb River Stn., Ord River'}, {'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}, {'key': 'status description', 'value': 'Priority 3: Poorly-known species - known from several locations'}, {'key': 'category', 'value': 'P3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}]",18608,3,East Kimberley,"Cockburn Range, Gibb River Stn., Ord River",Priority 3: Poorly-known species,P3,Priority 3: Poorly-known species - known from several locations,P3,WA,,,Acacia sp. Cockburn Range (R. Pullen 10. 763),Acacia sp.Cockburn,Acacia sp.Cockburn,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2817970,Acacia sp. Edgar Range (S.D. Hopper 1763),,Acacia sp. Edgar Range (S.D.Hopper 1763),https://id.biodiversity.org.au/node/apni/2912294,dr18406,"[{'key': 'taxonId', 'value': '18607'}, {'key': 'W A  Status', 'value': '1'}, {'key': 'D B C A  District', 'value': 'West Kimberley'}, {'key': 'Distribution', 'value': 'Edgar Range'}, {'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}, {'key': 'status description', 'value': 'Priority 1: Poorly-known species - known from few locations, none on conservation lands'}, {'key': 'category', 'value': 'P1'}, {'key': 'sensitivityZoneId', 'value': 'WA'}]",18607,1,West Kimberley,Edgar Range,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",P1,WA,,,Acacia sp. Edgar Range (S.D. Hopper 1763),Acacia spec.,Acacia spec. Edgar Range,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
