,status_id,taxon_id,user_id,place_id,source_id,authority,status,url,description,geoprivacy,iucn,created_at,updated_at,place_name,place_display_name,taxon_id_y,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,scientificName,taxonRank,references,preferred_common_name,is_active,current_synonymous_taxon_ids
664,158009,1042669,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2020-02-29 05:35:12.317537,2020-02-29 05:35:12.317537,Western Australia,"Western Australia, AU",1042669,https://www.inaturalist.org/taxa/1042669,https://www.inaturalist.org/taxa/1042669,https://www.inaturalist.org/taxa/1042668,Animalia,Mollusca,Gastropoda,Stylommatophora,Charopidae,Corinomala,tumida,,2021-10-29T05:06:21Z,Corinomala tumida,species,,,,
1801,153169,107044,708886,6827,16654,WA Department of Environment and Convservation,critically endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,50,2019-07-23 00:10:28.249174,2019-07-23 00:10:28.249174,Western Australia,"Western Australia, AU",107044,https://www.inaturalist.org/taxa/107044,https://www.inaturalist.org/taxa/107044,https://www.inaturalist.org/taxa/90317,Animalia,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Ningbingia,australis,,2021-10-29T09:25:06Z,Ningbingia australis,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/1147,,,
1947,153332,108173,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:06.765083,2019-07-23 00:11:06.765083,Western Australia,"Western Australia, AU",108173,https://www.inaturalist.org/taxa/108173,https://www.inaturalist.org/taxa/108173,https://www.inaturalist.org/taxa/90598,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Pachysaga,munggai,,2011-08-04T08:56:40Z,Pachysaga munggai,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/7682080,,,
143,170015,1264437,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2021-07-21 00:50:44.625035,2021-07-21 00:50:44.625035,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Arctophoca forsteri,,,New Zealand Fur Seal,False,[41752]
165,170012,1264442,708886,6827,16654,WA Department of Environment and Convservation,vulnerable,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,30,2021-07-21 00:41:52.292879,2021-07-21 00:41:52.292879,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Arctophoca tropicalis,,,Subantarctic Fur Seal,False,[41753]
2715,263713,1376781,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2022-04-19 02:35:58.509507,2022-04-19 02:35:58.509507,Western Australia,"Western Australia, AU",1376781,https://www.inaturalist.org/taxa/1376781,https://www.inaturalist.org/taxa/1376781,https://www.inaturalist.org/taxa/89033,Animalia,Chordata,Actinopterygii,Gobiiformes,Eleotridae,Hypseleotris,notata,,2022-04-19T02:30:52Z,Hypseleotris notata,species,,,,
2714,263711,1376790,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2022-04-19 02:35:56.956013,2022-04-19 02:35:56.956013,Western Australia,"Western Australia, AU",1376790,https://www.inaturalist.org/taxa/1376790,https://www.inaturalist.org/taxa/1376790,https://www.inaturalist.org/taxa/89033,Animalia,Chordata,Actinopterygii,Gobiiformes,Eleotridae,Hypseleotris,hutchinsi,,2022-04-19T02:30:58Z,Hypseleotris hutchinsi,species,,,,
22,264550,1377598,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2022-05-28 06:48:42.965069,2022-05-28 06:48:42.965069,Western Australia,"Western Australia, AU",1377598,https://www.inaturalist.org/taxa/1377598,https://www.inaturalist.org/taxa/1377598,https://www.inaturalist.org/taxa/50055,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Setaria,distans,,2022-04-20T21:07:49Z,Setaria distans,species,,,,
530,266157,1402634,708886,6827,16654,WA Department of Environment and Convservation,vulnerable,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,30,2022-07-19 17:28:21.379088,2022-07-19 17:28:21.379088,Western Australia,"Western Australia, AU",1402634,https://www.inaturalist.org/taxa/1402634,https://www.inaturalist.org/taxa/1402634,https://www.inaturalist.org/taxa/1402594,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Anstisia,vitellina,,2022-07-19T17:05:21Z,Anstisia vitellina,species,,,,
529,266154,1402636,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2022-07-19 17:28:18.697911,2022-07-19 17:28:18.697911,Western Australia,"Western Australia, AU",1402636,https://www.inaturalist.org/taxa/1402636,https://www.inaturalist.org/taxa/1402636,https://www.inaturalist.org/taxa/1402594,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Anstisia,lutea,,2022-07-19T17:05:22Z,Anstisia lutea,species,,,,
528,266152,1402637,708886,6827,16654,WA Department of Environment and Convservation,critically endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,50,2022-07-19 17:28:17.250222,2022-07-19 17:28:17.250222,Western Australia,"Western Australia, AU",1402637,https://www.inaturalist.org/taxa/1402637,https://www.inaturalist.org/taxa/1402637,https://www.inaturalist.org/taxa/1402594,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Anstisia,alba,,2022-07-19T17:05:23Z,Anstisia alba,species,,,,
394,152990,144532,708886,6827,16654,WA Department of Environment and Convservation,vulnerable,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,30,2019-07-23 00:09:46.302326,2022-06-11 08:07:50.404832,Western Australia,"Western Australia, AU",144532,https://www.inaturalist.org/taxa/144532,https://www.inaturalist.org/taxa/144532,https://www.inaturalist.org/taxa/144324,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,nereis,,2022-06-11T08:07:50Z,Sternula nereis,species,http://www.birds.cornell.edu/clementschecklist/downloadable-clements-checklist,,,
2014,153414,145454,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:25.634783,2019-07-23 00:11:25.634783,Western Australia,"Western Australia, AU",145454,https://www.inaturalist.org/taxa/145454,https://www.inaturalist.org/taxa/145454,https://www.inaturalist.org/taxa/145453,Plantae,Tracheophyta,Magnoliopsida,Asterales,Goodeniaceae,Lechenaultia,divaricata,,2020-04-07T22:54:25Z,Lechenaultia divaricata,species,http://www.ubio.org/browser/details.php?namebankID=9438081,,,
